Tiempo,Angulo
0.000,-0.0°
0.035,0.0°
0.065,0.9°
0.099,5.4°
0.133,9.6°
0.166,16.1°
0.198,21.8°
0.231,27.9°
0.263,33.7°
0.297,39.5°
0.330,45.4°
0.364,51.5°
0.397,57.2°
0.429,63.3°
0.462,69.3°
0.497,75.4°
0.529,81.5°
0.562,87.5°
0.596,93.6°
0.628,99.7°
0.661,105.6°
0.695,111.9°
0.727,117.7°
0.761,123.7°
0.794,129.7°
0.827,135.3°
0.860,141.3°
0.893,146.7°
0.928,152.6°
0.959,158.7°
0.993,164.2°
1.026,170.1°
1.059,175.6°
1.093,-178.7°
1.125,-173.1°
1.158,-167.7°
1.190,-161.8°
1.225,-156.7°
1.257,-151.3°
1.290,-146.3°
1.323,-140.9°
1.357,-134.9°
1.390,-129.5°
1.422,-123.7°
1.456,-117.9°
1.489,-111.8°
1.522,-105.9°
1.558,-100.4°
1.590,-94.6°
1.623,-88.8°
1.654,-82.7°
1.688,-76.9°
1.722,-71.1°
1.754,-64.9°
1.787,-59.2°
1.821,-53.1°
1.854,-47.5°
1.886,-41.3°
1.919,-35.3°
1.953,-28.6°
1.986,-22.3°
2.020,-16.7°
2.052,-9.7°
2.085,-3.5°
2.119,2.5°
2.150,8.7°
2.184,14.4°
2.217,20.7°
2.251,26.9°
2.283,32.5°
2.316,38.5°
2.350,44.5°
2.383,50.6°
2.415,56.2°
2.449,62.2°
2.482,68.4°
2.515,74.1°
2.550,80.2°
2.583,86.2°
2.614,92.1°
2.647,98.0°
2.680,104.2°
2.715,110.5°
2.748,116.3°
2.780,122.2°
2.813,128.2°
2.846,133.8°
2.880,139.6°
2.913,145.2°
2.946,151.2°
2.979,157.1°
3.012,162.7°
3.051,168.5°
3.078,174.0°
3.112,179.8°
3.145,-174.9°
3.177,-169.1°
3.210,-163.7°
3.243,-158.2°
3.277,-153.4°
3.310,-147.8°
3.350,-142.4°
3.376,-136.7°
3.409,-131.3°
3.442,-125.6°
3.475,-119.6°
3.510,-113.7°
3.541,-107.9°
3.574,-101.9°
3.607,-96.0°
3.641,-90.2°
3.675,-84.2°
3.710,-78.5°
3.740,-72.3°
3.773,-66.4°
3.806,-60.5°
3.840,-54.2°
3.872,-48.4°
3.905,-42.1°
3.938,-36.4°
3.979,-29.7°
4.005,-23.4°
4.038,-17.7°
4.071,-11.1°
4.105,-4.9°
4.138,1.4°
4.172,8.0°
4.203,13.9°
4.236,20.3°
4.272,26.2°
4.303,32.3°
4.338,38.5°
4.369,44.3°
4.401,50.3°
4.435,56.2°
4.468,62.2°
4.501,68.0°
4.534,73.5°
4.569,79.7°
4.600,85.6°
4.637,91.6°
4.671,97.4°
4.700,103.6°
4.733,109.6°
4.771,115.6°
4.799,121.6°
4.832,127.6°
4.866,133.1°
4.899,139.1°
4.932,144.7°
4.964,150.4°
5.000,156.5°
5.031,162.0°
5.064,167.5°
5.097,173.4°
5.131,178.9°
5.164,-175.4°
5.197,-170.2°
5.229,-164.9°
5.263,-159.5°
5.296,-154.2°
5.331,-148.8°
5.363,-143.5°
5.395,-137.8°
5.429,-132.3°
5.461,-126.6°
5.494,-120.7°
5.527,-114.9°
5.560,-109.1°
5.595,-103.2°
5.627,-97.3°
5.660,-91.4°
5.694,-85.6°
5.731,-79.4°
5.759,-73.5°
5.793,-67.5°
5.825,-61.6°
5.859,-55.2°
5.892,-49.5°
5.925,-43.2°
5.958,-37.4°
5.993,-31.0°
6.024,-24.8°
6.057,-18.0°
6.090,-11.4°
6.123,-5.1°
6.157,0.9°
6.191,7.5°
6.222,13.6°
6.259,19.8°
6.289,26.0°
6.322,31.9°
6.355,38.0°
6.388,43.8°
6.421,49.7°
6.455,56.0°
6.487,61.5°
