Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch
10.39,-0.1,0.12,-0.02,-0.05,0.08,1.63,-0.17,0.92,-0.27
10.46,-0.08,0.14,-0.14,-0.02,0.07,1.63,-0.26,1.2,-0.27
10.52,-0.15,0.22,-0.02,-0.08,0.06,1.65,-0.14,1.38,-0.26
10.59,-0.05,0.37,0.07,0.03,0.06,1.67,-0.03,1.47,-0.24
10.65,-0.1,0.25,0.11,-0.01,0.05,1.69,0.0,1.14,-0.21
10.71,-0.22,0.15,0.01,-0.11,0.04,1.7,0.02,0.98,-0.2
10.77,-0.15,0.31,0.02,-0.03,0.03,1.72,0.18,0.85,-0.16
10.84,-0.08,0.29,0.08,0.08,0.03,1.74,-0.17,1.23,-0.15
10.9,-0.08,0.21,0.11,0.08,0.02,1.75,0.03,1.03,-0.13
10.96,-0.08,0.08,-0.12,0.08,0.02,1.75,-0.14,0.84,-0.13
11.02,-0.18,0.22,0.07,-0.02,0.0,1.77,-0.12,1.03,-0.13
11.09,-0.15,0.3,0.0,0.02,-0.01,1.79,0.17,1.37,-0.1
11.15,-0.11,0.16,-0.07,0.07,-0.01,1.8,-0.32,0.98,-0.11
11.22,-0.19,0.21,0.13,-0.02,-0.02,1.81,-0.2,1.1,-0.12
11.28,-0.09,0.02,0.0,0.07,-0.03,1.81,0.2,1.19,-0.09
11.34,-0.15,0.21,0.12,0.04,-0.04,1.83,-0.2,0.88,-0.1
11.41,-0.1,0.29,0.02,0.08,-0.05,1.84,-0.35,1.16,-0.12
11.47,-0.11,0.09,0.02,0.05,-0.05,1.85,-0.17,1.07,-0.12
11.53,-0.09,0.13,0.06,0.07,-0.06,1.86,-0.31,1.15,-0.14
11.6,-0.13,0.18,0.02,0.01,-0.07,1.87,-0.11,1.48,-0.13
11.66,-0.13,0.22,0.18,0.01,-0.08,1.88,-0.44,1.26,-0.16
11.72,-0.02,0.21,0.02,0.1,-0.08,1.9,-0.36,1.16,-0.18
11.79,-0.07,0.14,0.0,0.04,-0.08,1.91,-0.02,1.29,-0.16
11.85,-0.03,0.32,0.0,0.09,-0.08,1.93,-0.27,1.09,-0.17
11.91,-0.11,0.12,0.02,-0.01,-0.09,1.93,-0.45,1.24,-0.2
11.98,-0.13,0.2,0.05,-0.04,-0.1,1.95,0.26,1.55,-0.15
12.04,-0.04,0.23,0.02,0.08,-0.1,1.96,-0.26,1.55,-0.16
12.11,-0.12,0.08,0.01,-0.01,-0.11,1.97,-0.09,1.0,-0.15
12.17,0.02,0.27,-0.05,0.13,-0.11,1.98,0.05,0.9,-0.12
12.23,-0.06,0.17,-0.12,0.07,-0.11,1.99,-0.17,1.26,-0.12
12.3,-0.24,0.31,0.17,-0.11,-0.13,2.01,-0.14,1.18,-0.13
12.36,-0.17,0.02,0.04,-0.04,-0.14,2.01,-0.42,0.86,-0.16
12.43,0.03,0.2,0.11,0.14,-0.14,2.03,0.05,1.08,-0.13
12.49,-0.07,0.24,0.0,0.05,-0.14,2.04,-0.11,1.24,-0.13
12.55,-0.15,0.27,-0.01,-0.03,-0.15,2.06,-0.59,1.19,-0.18
12.62,-0.21,0.07,0.09,-0.12,-0.16,2.06,-0.08,1.2,-0.17
12.68,-0.14,0.0,0.05,-0.04,-0.17,2.06,-0.23,1.17,-0.18
12.75,-0.03,0.26,0.15,0.06,-0.17,2.08,-0.3,1.29,-0.19
12.81,-0.15,0.18,-0.15,-0.07,-0.18,2.09,0.0,1.14,-0.17
12.88,-0.12,0.15,-0.03,-0.02,-0.19,2.1,-0.03,0.72,-0.16
12.94,-0.15,0.39,-0.04,-0.03,-0.2,2.13,-0.23,0.84,-0.17
13.01,-0.03,0.33,-0.05,0.07,-0.2,2.15,-0.31,1.19,-0.18
13.07,-0.05,0.27,-0.12,0.04,-0.21,2.17,-0.02,1.0,-0.16
13.14,-0.1,0.08,-0.03,0.01,-0.21,2.17,-0.26,1.28,-0.17
13.2,-0.21,0.04,0.08,-0.11,-0.23,2.17,-0.57,1.5,-0.22
13.27,-0.22,0.05,0.11,-0.15,-0.24,2.18,-0.24,1.04,-0.23
13.33,-0.04,0.38,0.11,0.03,-0.24,2.2,-0.27,0.96,-0.23
13.39,-0.22,0.15,-0.07,-0.16,-0.26,2.21,-0.36,0.84,-0.26
13.46,-0.14,0.14,-0.03,-0.08,-0.27,2.22,-0.03,1.08,-0.24
13.53,-0.08,0.13,0.02,-0.0,-0.27,2.23,0.15,0.74,-0.2
13.59,-0.09,0.37,0.0,0.01,-0.28,2.25,-0.43,1.31,-0.22
13.65,-0.23,0.11,0.02,-0.14,-0.29,2.26,-0.29,1.03,-0.23
13.72,-0.11,0.2,-0.13,-0.03,-0.3,2.27,-0.36,0.97,-0.25
13.78,-0.15,0.15,-0.07,-0.08,-0.31,2.28,-0.52,1.06,-0.28
13.85,-0.19,0.16,0.05,-0.14,-0.32,2.29,-0.44,1.46,-0.31
13.91,-0.22,0.21,-0.05,-0.18,-0.34,2.31,-0.8,0.92,-0.37
13.98,-0.2,0.14,0.0,-0.19,-0.35,2.31,-0.09,1.24,-0.35
14.04,-0.13,0.04,0.15,-0.1,-0.36,2.32,-0.21,0.75,-0.34
14.11,-0.11,0.02,0.09,-0.08,-0.36,2.32,-0.48,1.13,-0.36
14.17,-0.22,0.3,0.02,-0.19,-0.38,2.34,-0.26,1.11,-0.36
14.24,-0.02,0.08,-0.01,0.02,-0.38,2.34,-0.12,1.32,-0.34
14.3,-0.06,0.23,0.12,-0.01,-0.38,2.36,0.05,1.23,-0.3
14.37,-0.11,0.24,0.19,-0.02,-0.39,2.37,-0.21,1.16,-0.29
14.43,-0.11,0.37,0.05,-0.02,-0.4,2.4,-0.05,1.02,-0.26
14.49,-0.12,0.04,0.15,-0.01,-0.41,2.4,-0.06,1.56,-0.24
14.56,-0.21,0.21,0.02,-0.08,-0.42,2.41,-0.15,1.18,-0.24
14.62,-0.15,0.15,0.08,-0.01,-0.43,2.42,-0.24,1.46,-0.24
14.69,-0.13,0.07,0.01,0.0,-0.44,2.43,-0.15,1.2,-0.23
14.75,-0.28,0.18,-0.11,-0.14,-0.45,2.44,-0.21,1.02,-0.24
