Tiempo,GiroX,GiroY,GiroZ,KalmanGiroX,GiroXAngle,GiroYAngle,Roll,Pitch,KalmanRoll
24.93,-0.2,-0.18,-0.05,-0.12,0.22,-3.25,-0.02,1.28,0.0
24.99,-0.05,0.05,-0.15,0.03,0.21,-3.25,0.06,1.13,0.01
25.06,0.08,-0.05,-0.1,0.16,0.22,-3.25,-0.15,1.28,0.0
25.12,-0.18,-0.21,-0.03,-0.11,0.21,-3.27,-0.39,1.26,-0.05
25.19,-0.11,0.03,0.02,-0.07,0.2,-3.26,-0.29,1.31,-0.08
25.25,0.03,-0.1,-0.09,0.05,0.2,-3.27,0.05,1.56,-0.06
25.32,-0.08,-0.21,-0.13,-0.05,0.2,-3.28,0.27,1.0,-0.03
25.38,-0.11,-0.2,-0.08,-0.05,0.19,-3.3,-0.11,1.14,-0.04
25.45,-0.07,-0.06,-0.27,-0.02,0.18,-3.3,-0.08,1.11,-0.04
25.51,-0.14,-0.2,0.08,-0.09,0.18,-3.31,0.14,1.63,-0.03
25.58,-0.11,-0.14,-0.19,-0.05,0.17,-3.32,0.08,1.17,-0.02
25.64,-0.01,0.0,-0.09,0.06,0.17,-3.32,-0.24,0.93,-0.04
25.71,-0.05,-0.15,0.12,0.01,0.16,-3.33,-0.06,0.76,-0.04
25.77,-0.17,-0.29,0.01,-0.12,0.15,-3.35,-0.5,1.4,-0.1
25.84,-0.08,-0.35,-0.05,-0.07,0.15,-3.38,-0.29,1.29,-0.12
25.91,0.07,-0.33,0.0,0.07,0.15,-3.4,-0.41,0.88,-0.15
25.97,0.0,-0.19,-0.07,-0.02,0.15,-3.41,-0.36,1.07,-0.17
26.04,-0.04,-0.11,-0.07,-0.07,0.15,-3.42,-0.21,1.2,-0.18
26.1,-0.02,-0.08,-0.02,-0.05,0.15,-3.42,0.06,1.48,-0.16
26.17,-0.05,-0.14,-0.06,-0.07,0.15,-3.43,-0.15,1.12,-0.16
26.23,0.09,-0.19,-0.15,0.07,0.15,-3.44,0.0,1.55,-0.14
26.3,-0.03,-0.05,-0.18,-0.04,0.15,-3.45,-0.14,1.37,-0.14
26.36,-0.03,-0.22,-0.04,-0.04,0.15,-3.46,-0.06,1.25,-0.13
26.43,-0.03,-0.24,0.03,-0.03,0.15,-3.48,0.17,1.52,-0.1
26.5,-0.13,-0.08,-0.14,-0.11,0.14,-3.48,0.12,1.29,-0.09
26.56,-0.04,-0.1,-0.22,0.0,0.13,-3.49,-0.05,1.02,-0.08
26.63,-0.14,0.05,0.0,-0.09,0.13,-3.49,0.15,1.37,-0.06
26.69,-0.1,0.14,-0.05,-0.04,0.12,-3.48,-0.32,1.12,-0.09
26.76,-0.05,-0.11,0.07,-0.01,0.12,-3.48,-0.11,1.55,-0.09
26.82,-0.05,-0.4,-0.05,-0.0,0.11,-3.51,-0.3,1.12,-0.12
26.89,-0.12,-0.16,-0.05,-0.09,0.1,-3.52,0.17,1.32,-0.09
26.95,-0.08,-0.21,0.03,-0.03,0.1,-3.53,0.14,1.65,-0.07
27.02,-0.02,-0.1,-0.12,0.05,0.1,-3.54,-0.18,1.03,-0.08
27.08,0.07,-0.39,-0.09,0.13,0.1,-3.57,0.03,0.93,-0.06
27.15,-0.09,-0.07,-0.16,-0.03,0.1,-3.57,-0.24,1.33,-0.08
27.22,-0.02,-0.17,-0.11,0.04,0.1,-3.58,0.08,0.66,-0.06
27.28,-0.24,-0.04,-0.11,-0.17,0.08,-3.58,0.12,1.39,-0.05
27.35,-0.15,-0.15,-0.2,-0.07,0.07,-3.59,0.05,1.32,-0.05
27.41,-0.07,-0.18,-0.11,0.02,0.07,-3.61,-0.03,1.37,-0.04
27.48,-0.07,0.03,-0.27,0.02,0.06,-3.6,0.03,1.08,-0.03
27.54,0.04,-0.05,-0.11,0.13,0.06,-3.61,0.12,1.35,-0.01
27.6,-0.05,0.01,-0.06,0.05,0.06,-3.61,0.02,1.53,-0.0
27.67,-0.03,0.0,-0.02,0.07,0.06,-3.61,0.36,1.01,0.04
27.73,-0.17,-0.11,-0.02,-0.04,0.05,-3.61,0.11,1.25,0.04
27.79,0.01,-0.05,-0.28,0.15,0.05,-3.62,-0.23,1.15,0.02
27.86,-0.06,-0.12,-0.11,0.06,0.05,-3.62,-0.12,1.42,0.01
27.92,-0.24,-0.18,0.02,-0.14,0.03,-3.64,-0.06,1.28,-0.0
27.99,-0.15,-0.08,0.01,-0.05,0.02,-3.64,0.27,1.27,0.02
28.05,-0.03,-0.2,-0.09,0.09,0.02,-3.65,0.02,1.4,0.03
28.12,-0.07,-0.11,-0.13,0.05,0.01,-3.66,-0.18,1.2,0.01
28.18,-0.13,-0.14,-0.08,-0.02,0.0,-3.67,-0.1,1.45,-0.01
28.25,0.01,-0.02,-0.08,0.1,0.01,-3.67,-0.05,1.33,-0.0
28.31,-0.06,-0.05,-0.21,0.03,0.0,-3.67,-0.15,1.31,-0.02
28.38,-0.11,-0.03,0.01,-0.02,-0.01,-3.68,-0.13,1.29,-0.03
28.44,-0.07,-0.17,0.09,0.0,-0.01,-3.69,0.17,1.42,-0.01
28.51,-0.23,-0.05,-0.02,-0.14,-0.02,-3.69,-0.26,1.34,-0.04
28.58,-0.17,-0.02,-0.25,-0.1,-0.04,-3.69,-0.11,1.72,-0.06
28.64,0.02,-0.03,0.05,0.09,-0.03,-3.69,0.04,1.44,-0.04
