Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch
4.34,-0.06,-0.08,0.04,0.01,0.32,0.71,-0.15,1.08,-0.11
4.41,-0.18,0.03,0.08,-0.12,0.31,0.71,-0.02,1.22,-0.11
4.47,-0.04,0.11,0.17,0.03,0.3,0.72,0.38,1.33,-0.06
4.53,-0.21,0.13,0.09,-0.1,0.29,0.73,-0.12,0.92,-0.07
4.59,-0.15,-0.15,0.0,-0.04,0.28,0.72,0.13,1.45,-0.05
4.65,-0.11,0.24,0.06,0.01,0.28,0.73,-0.32,1.24,-0.08
4.72,-0.11,0.18,0.04,-0.02,0.27,0.74,-0.27,1.23,-0.1
4.78,-0.2,0.02,-0.08,-0.12,0.26,0.75,-0.3,0.84,-0.12
4.84,0.0,-0.12,0.13,0.07,0.26,0.74,0.4,1.37,-0.07
4.9,-0.15,0.24,0.04,-0.04,0.25,0.75,-0.15,0.93,-0.08
4.96,-0.18,0.1,0.12,-0.08,0.24,0.76,-0.2,1.67,-0.09
5.03,-0.08,-0.07,0.02,0.02,0.23,0.75,0.0,1.19,-0.08
5.09,-0.16,-0.27,-0.08,-0.06,0.22,0.74,0.15,1.39,-0.06
5.15,-0.16,0.17,-0.06,-0.04,0.21,0.75,-0.02,1.06,-0.06
5.22,-0.19,-0.07,0.07,-0.07,0.2,0.74,0.17,1.02,-0.04
5.28,-0.15,0.01,0.3,-0.01,0.19,0.74,0.02,1.41,-0.04
5.34,-0.18,0.45,0.22,-0.04,0.18,0.77,-0.03,1.38,-0.04
5.4,-0.19,-0.05,-0.01,-0.05,0.17,0.77,0.18,1.34,-0.02
5.47,-0.08,0.09,0.15,0.08,0.16,0.77,0.09,1.51,-0.0
5.53,-0.2,0.05,0.23,-0.03,0.15,0.78,0.35,1.26,0.03
5.59,-0.27,0.28,0.13,-0.07,0.13,0.79,-0.26,1.08,-0.0
5.65,-0.21,-0.23,-0.03,-0.03,0.12,0.78,0.11,1.46,0.01
5.71,-0.28,-0.03,0.21,-0.1,0.1,0.78,-0.12,0.93,-0.01
5.77,-0.11,0.05,0.24,0.06,0.1,0.78,-0.15,0.89,-0.02
5.84,-0.21,0.11,-0.05,-0.05,0.08,0.79,0.14,1.1,-0.01
5.9,-0.05,-0.24,0.11,0.13,0.08,0.77,-0.17,1.29,-0.02
5.96,-0.05,0.11,0.08,0.11,0.08,0.78,0.05,1.33,-0.01
6.02,-0.16,0.1,0.09,0.0,0.07,0.79,0.29,1.15,0.02
6.08,-0.03,0.15,0.05,0.16,0.07,0.79,-0.36,1.15,-0.01
6.14,-0.25,0.1,0.05,-0.1,0.05,0.8,-0.03,1.08,-0.01
6.2,-0.34,0.31,0.05,-0.19,0.03,0.82,-0.3,1.76,-0.05
6.27,-0.25,0.01,0.22,-0.12,0.01,0.82,-0.05,1.22,-0.06
6.33,0.06,0.11,0.0,0.2,0.02,0.83,-0.09,1.55,-0.05
6.39,-0.17,0.12,0.09,-0.04,0.01,0.83,0.18,1.45,-0.03
6.45,-0.22,0.31,0.14,-0.07,-0.01,0.85,0.03,1.19,-0.03
6.51,-0.12,0.15,0.03,0.03,-0.01,0.86,-0.26,1.39,-0.05
6.58,-0.11,0.16,-0.05,0.03,-0.02,0.87,0.35,1.01,-0.01
6.64,0.0,0.23,0.16,0.17,-0.02,0.89,-0.07,1.25,-0.0
6.7,-0.11,-0.15,0.05,0.05,-0.03,0.88,0.09,1.43,0.01
6.76,-0.13,0.1,0.1,0.04,-0.04,0.88,-0.03,1.63,0.01
6.82,-0.27,0.12,0.12,-0.11,-0.05,0.89,-0.12,0.87,-0.01
6.89,-0.15,0.0,0.18,0.0,-0.06,0.89,-0.33,1.43,-0.05
6.95,-0.1,0.0,0.05,0.03,-0.07,0.89,0.26,1.59,-0.01
7.01,-0.27,0.27,0.03,-0.12,-0.09,0.91,0.18,1.63,0.0
7.07,-0.15,0.24,0.05,0.03,-0.09,0.92,-0.48,1.25,-0.05
7.13,-0.02,-0.09,-0.04,0.12,-0.09,0.92,-0.13,1.29,-0.05
7.2,-0.15,-0.06,0.21,-0.02,-0.1,0.91,0.0,1.25,-0.05
7.26,-0.19,0.02,-0.01,-0.06,-0.12,0.91,0.09,1.4,-0.03
7.33,-0.08,0.21,0.18,0.06,-0.12,0.93,0.12,1.6,-0.02
7.39,-0.23,0.07,0.15,-0.08,-0.14,0.93,0.11,1.49,-0.01
7.45,-0.26,0.04,0.05,-0.1,-0.15,0.93,-0.47,1.1,-0.06
7.51,-0.27,0.01,0.06,-0.14,-0.17,0.93,0.2,1.25,-0.04
7.58,-0.21,0.11,0.18,-0.07,-0.18,0.94,-0.06,1.11,-0.05
7.64,-0.16,0.08,0.15,-0.01,-0.19,0.95,0.17,1.06,-0.03
7.7,-0.02,0.0,-0.04,0.14,-0.19,0.95,0.08,1.19,-0.01
7.76,-0.22,0.27,-0.04,-0.05,-0.21,0.96,0.0,1.79,-0.01
7.83,-0.18,-0.03,0.24,-0.01,-0.22,0.96,-0.09,0.98,-0.02
7.89,-0.2,0.17,0.08,-0.03,-0.23,0.97,0.0,1.52,-0.02
7.95,-0.36,0.18,0.19,-0.19,-0.25,0.98,0.09,1.17,-0.02
8.02,-0.16,-0.02,0.18,0.01,-0.26,0.98,0.05,1.63,-0.01
8.08,-0.02,-0.05,-0.01,0.16,-0.27,0.98,0.23,1.32,0.02
8.14,-0.12,0.17,-0.03,0.07,-0.27,0.99,-0.05,1.43,0.02
8.2,-0.25,0.16,0.23,-0.06,-0.29,1.0,0.11,1.3,0.03
8.27,-0.15,-0.31,0.07,0.05,-0.3,0.98,-0.05,1.48,0.02
8.33,-0.24,0.11,0.21,-0.05,-0.31,0.99,0.36,0.87,0.05
8.39,-0.17,0.2,0.16,0.05,-0.32,1.0,0.0,1.68,0.05
8.45,-0.23,0.09,-0.04,-0.01,-0.34,1.0,-0.21,1.43,0.02
8.51,-0.21,0.05,0.05,-0.01,-0.35,1.01,0.06,1.46,0.03
8.57,-0.11,0.03,0.05,0.09,-0.36,1.01,-0.06,1.06,0.02
8.64,-0.15,-0.03,0.02,0.05,-0.37,1.01,0.15,1.14,0.04
8.7,0.08,-0.19,0.05,0.28,-0.36,1.0,0.48,1.36,0.1
8.76,0.0,-0.06,-0.07,0.23,-0.36,0.99,0.4,1.12,0.14
8.82,0.04,0.21,0.11,0.29,-0.36,1.01,0.32,1.11,0.18
8.88,-0.19,0.13,-0.02,0.07,-0.37,1.01,-0.14,1.18,0.15
8.94,-0.05,0.06,0.03,0.19,-0.37,1.02,0.21,1.25,0.17
9.0,-0.11,0.15,0.15,0.13,-0.38,1.03,-0.27,0.67,0.13
9.06,-0.15,0.32,0.18,0.07,-0.39,1.05,0.33,1.76,0.15
9.12,-0.18,0.24,0.09,0.05,-0.4,1.06,-0.54,1.52,0.08
9.18,-0.11,0.12,-0.03,0.06,-0.41,1.07,-0.29,0.96,0.05
9.25,0.0,0.11,0.15,0.15,-0.41,1.07,-0.11,1.18,0.04
9.31,-0.21,0.07,0.08,-0.07,-0.42,1.08,-0.26,1.2,0.01
9.37,0.05,-0.01,-0.17,0.17,-0.42,1.08,-0.11,1.26,0.01
9.43,-0.06,0.2,0.15,0.04,-0.42,1.09,0.2,1.02,0.03
9.49,-0.11,0.15,0.19,0.0,-0.43,1.1,-0.37,1.07,-0.01
9.55,-0.28,0.15,0.16,-0.19,-0.44,1.11,-0.14,1.38,-0.04
9.62,-0.17,0.1,0.02,-0.09,-0.45,1.12,-0.2,1.43,-0.06
9.68,-0.15,0.31,0.03,-0.08,-0.46,1.13,-0.55,1.08,-0.11
9.75,-0.1,0.01,-0.05,-0.07,-0.47,1.14,-0.17,1.02,-0.12
9.81,-0.15,-0.17,0.1,-0.12,-0.48,1.12,-0.3,1.43,-0.15
9.87,-0.09,0.21,0.2,-0.08,-0.49,1.14,-0.27,1.22,-0.16
9.94,-0.11,0.16,0.09,-0.11,-0.49,1.15,0.12,1.48,-0.14
10.0,-0.24,-0.05,0.24,-0.22,-0.51,1.15,-0.29,1.3,-0.17
10.07,-0.19,-0.03,0.06,-0.17,-0.52,1.14,-0.18,1.44,-0.18
10.13,0.02,0.15,0.09,0.03,-0.52,1.15,-0.41,1.42,-0.2
10.19,-0.32,0.15,0.28,-0.32,-0.54,1.16,-0.08,1.35,-0.21
10.26,-0.05,0.29,0.18,-0.03,-0.54,1.18,0.06,1.14,-0.18
10.32,-0.09,0.01,0.09,-0.06,-0.55,1.18,-0.24,1.21,-0.19
10.39,-0.06,0.17,0.08,-0.03,-0.55,1.19,-0.39,1.16,-0.21
10.45,-0.25,-0.06,0.13,-0.24,-0.57,1.19,0.03,1.04,-0.2
