Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch
0.81,-0.05,-0.13,-0.18,-0.02,0.89,-0.54,0.11,1.48,-0.38
0.87,-0.1,-0.12,-0.11,-0.06,0.89,-0.55,0.09,1.4,-0.37
0.93,-0.04,-0.32,0.06,0.01,0.89,-0.57,0.21,0.86,-0.35
1.0,-0.08,-0.19,-0.19,-0.01,0.88,-0.58,0.21,1.05,-0.33
1.06,-0.11,-0.24,-0.13,-0.03,0.87,-0.6,0.02,1.79,-0.31
1.13,-0.04,-0.41,0.02,0.06,0.87,-0.63,-0.03,1.46,-0.29
1.19,0.01,0.07,-0.2,0.11,0.87,-0.62,0.27,1.11,-0.26
1.25,-0.03,-0.01,-0.11,0.1,0.87,-0.62,-0.16,1.26,-0.25
1.32,-0.09,-0.05,-0.22,0.04,0.86,-0.63,0.03,1.33,-0.23
1.38,-0.05,-0.27,-0.22,0.09,0.86,-0.64,-0.17,1.59,-0.22
1.44,-0.02,-0.13,-0.06,0.13,0.86,-0.65,0.08,1.63,-0.19
1.51,-0.08,-0.11,-0.11,0.08,0.85,-0.66,-0.11,1.14,-0.18
1.57,0.09,0.08,-0.2,0.26,0.86,-0.65,0.45,1.24,-0.11
1.63,-0.03,-0.15,-0.14,0.18,0.86,-0.66,0.26,1.44,-0.07
1.7,-0.08,-0.42,-0.08,0.15,0.85,-0.69,0.08,1.61,-0.05
1.76,-0.15,-0.09,-0.04,0.09,0.84,-0.69,0.31,1.36,-0.01
1.82,-0.09,-0.12,-0.02,0.17,0.84,-0.7,0.15,0.86,0.01
1.89,-0.11,-0.24,-0.09,0.17,0.83,-0.72,0.14,1.29,0.03
1.95,-0.09,-0.18,0.02,0.19,0.82,-0.73,0.07,0.93,0.05
2.01,-0.16,-0.13,-0.14,0.12,0.82,-0.74,0.18,1.5,0.07
2.07,0.02,-0.22,0.02,0.31,0.82,-0.75,0.45,1.14,0.12
2.13,-0.04,-0.12,-0.15,0.28,0.81,-0.76,0.21,1.16,0.14
2.2,-0.1,-0.08,-0.17,0.22,0.81,-0.76,-0.23,1.12,0.12
2.26,-0.05,-0.14,-0.23,0.24,0.8,-0.77,0.26,0.89,0.15
2.32,-0.02,-0.11,-0.1,0.29,0.8,-0.78,-0.12,1.17,0.14
2.39,0.01,-0.18,-0.15,0.29,0.8,-0.79,0.18,0.88,0.16
2.45,-0.11,-0.52,-0.21,0.18,0.8,-0.82,-0.12,1.17,0.14
2.51,-0.08,-0.32,0.11,0.18,0.79,-0.84,-0.01,0.87,0.13
2.57,0.02,-0.08,-0.07,0.27,0.79,-0.85,-0.05,1.53,0.13
2.64,-0.02,-0.08,-0.21,0.21,0.79,-0.85,0.3,1.12,0.16
2.7,-0.02,-0.14,-0.06,0.23,0.79,-0.86,0.08,1.1,0.17
2.76,-0.11,-0.24,-0.13,0.13,0.78,-0.87,0.03,1.13,0.16
2.82,-0.11,0.0,-0.14,0.12,0.78,-0.87,0.04,0.78,0.15
2.88,-0.12,-0.13,-0.24,0.1,0.77,-0.88,-0.14,0.98,0.13
2.95,-0.03,-0.12,-0.24,0.17,0.77,-0.89,-0.06,1.07,0.12
3.01,-0.18,-0.28,-0.13,0.01,0.76,-0.91,0.14,1.15,0.12
3.07,-0.05,-0.18,-0.05,0.13,0.75,-0.92,0.13,1.3,0.13
3.14,0.02,-0.37,-0.24,0.21,0.75,-0.94,0.32,1.14,0.16
3.2,-0.08,-0.08,-0.21,0.12,0.75,-0.95,-0.11,1.25,0.14
3.26,0.0,-0.25,-0.11,0.18,0.75,-0.96,-0.17,0.98,0.12
3.32,-0.02,-0.18,-0.23,0.13,0.75,-0.97,0.41,1.14,0.16
3.39,0.04,-0.31,-0.16,0.21,0.75,-0.99,-0.03,1.31,0.15
3.45,0.04,-0.27,-0.11,0.2,0.75,-1.01,-0.11,1.11,0.13
3.51,-0.06,-0.17,-0.02,0.08,0.75,-1.02,-0.09,0.89,0.12
3.57,-0.02,-0.28,-0.09,0.1,0.75,-1.04,0.47,0.89,0.16
3.64,-0.18,-0.34,-0.25,-0.03,0.74,-1.06,-0.09,1.28,0.13
