Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch
2.33,376.0,-376.0,14968.0,1.65,0.29,-1.44,-0.88
2.39,300.0,-384.0,14984.0,1.63,0.23,-1.47,-0.92
2.45,244.0,-376.0,15156.0,1.4,-0.04,-1.42,-0.97
2.51,388.0,-412.0,14984.0,1.75,0.27,-1.58,-1.01
2.57,428.0,-384.0,15104.0,1.61,0.09,-1.46,-1.05
2.63,324.0,-360.0,15108.0,1.65,0.1,-1.37,-1.08
2.69,360.0,-284.0,15140.0,1.71,0.14,-1.07,-1.07
2.75,256.0,-320.0,14952.0,1.61,0.04,-1.23,-1.08
2.81,236.0,-368.0,15124.0,1.54,-0.04,-1.39,-1.12
2.87,288.0,-308.0,14980.0,1.5,-0.1,-1.18,-1.13
2.93,428.0,-288.0,15068.0,1.6,-0.01,-1.09,-1.13
2.98,432.0,-328.0,14772.0,1.44,-0.17,-1.27,-1.15
3.04,416.0,-692.0,15488.0,1.63,0.01,-2.56,-1.29
3.1,384.0,-328.0,15056.0,1.49,-0.23,-1.25,-1.3
3.16,340.0,-416.0,15020.0,1.66,-0.05,-1.59,-1.33
3.22,308.0,-440.0,15268.0,1.48,-0.26,-1.65,-1.37
3.28,264.0,-432.0,15084.0,1.66,-0.1,-1.64,-1.41
3.34,336.0,-360.0,15064.0,1.64,-0.14,-1.37,-1.41
3.4,336.0,-260.0,14892.0,1.66,-0.11,-1.0,-1.37
3.46,400.0,-336.0,15060.0,1.55,-0.2,-1.28,-1.38
3.52,420.0,-288.0,15224.0,1.47,-0.27,-1.08,-1.36
3.58,408.0,-340.0,14960.0,1.64,-0.07,-1.3,-1.36
3.64,360.0,-284.0,15100.0,1.53,-0.18,-1.08,-1.34
3.7,424.0,-368.0,15064.0,1.65,-0.04,-1.4,-1.35
3.76,444.0,-384.0,14848.0,1.51,-0.18,-1.48,-1.37
3.82,360.0,-412.0,15108.0,1.6,-0.11,-1.56,-1.4
3.88,476.0,-304.0,15128.0,1.6,-0.12,-1.15,-1.38
3.94,456.0,-340.0,14896.0,1.62,-0.08,-1.31,-1.38
4.0,396.0,-368.0,14916.0,1.71,0.02,-1.41,-1.38
4.06,344.0,-308.0,14992.0,1.66,-0.03,-1.18,-1.36
4.12,448.0,-372.0,14984.0,1.57,-0.11,-1.42,-1.37
4.18,380.0,-356.0,15068.0,1.6,-0.08,-1.35,-1.37
4.24,236.0,-304.0,15072.0,1.6,-0.08,-1.16,-1.36
4.3,364.0,-472.0,14924.0,1.47,-0.2,-1.81,-1.41
4.36,436.0,-392.0,15156.0,1.64,-0.06,-1.48,-1.42
4.42,368.0,-368.0,14928.0,1.58,-0.12,-1.41,-1.43
4.48,420.0,-316.0,15172.0,1.56,-0.14,-1.19,-1.41
4.54,360.0,-340.0,15112.0,1.61,-0.07,-1.29,-1.4
4.6,384.0,-300.0,14956.0,1.8,0.13,-1.15,-1.37
4.66,284.0,-400.0,15080.0,1.56,-0.1,-1.52,-1.39
4.72,452.0,-404.0,15012.0,1.76,0.09,-1.54,-1.4
4.78,324.0,-356.0,15000.0,1.44,-0.24,-1.36,-1.41
4.84,284.0,-376.0,15084.0,1.53,-0.14,-1.43,-1.42
4.9,376.0,-292.0,14944.0,1.58,-0.09,-1.12,-1.39
4.96,384.0,-336.0,15000.0,1.79,0.13,-1.28,-1.38
5.01,368.0,-412.0,14952.0,1.56,-0.09,-1.58,-1.4
5.07,332.0,-368.0,15068.0,1.76,0.1,-1.4,-1.4
5.13,452.0,-316.0,15068.0,1.59,-0.07,-1.2,-1.38
5.19,436.0,-212.0,15024.0,1.69,0.05,-0.81,-1.32
5.25,460.0,-456.0,15068.0,1.65,0.05,-1.73,-1.36
5.31,388.0,-368.0,15064.0,1.57,-0.06,-1.4,-1.37
5.37,384.0,-452.0,15044.0,1.45,-0.19,-1.72,-1.41
5.43,404.0,-340.0,15340.0,1.54,-0.12,-1.27,-1.4
5.49,328.0,-316.0,15228.0,1.55,-0.1,-1.19,-1.39
5.55,352.0,-344.0,14964.0,1.69,0.06,-1.32,-1.38
5.61,352.0,-452.0,15044.0,1.57,-0.06,-1.72,-1.41
5.67,352.0,-420.0,15096.0,1.75,0.09,-1.59,-1.43
5.73,448.0,-432.0,15196.0,1.53,-0.13,-1.63,-1.45
5.79,332.0,-212.0,14896.0,1.58,-0.1,-0.82,-1.4
5.85,392.0,-260.0,15020.0,1.59,-0.05,-0.99,-1.36
5.91,596.0,-284.0,14928.0,1.64,0.04,-1.09,-1.33
5.97,388.0,-368.0,15104.0,1.47,-0.11,-1.4,-1.34
6.03,424.0,-316.0,15004.0,1.51,-0.08,-1.21,-1.33
6.09,232.0,-332.0,15160.0,1.63,0.05,-1.25,-1.32
6.14,428.0,-208.0,15144.0,1.53,-0.05,-0.79,-1.27
6.2,352.0,-100.0,14872.0,1.5,-0.03,-0.39,-1.18
6.26,320.0,-176.0,14976.0,1.69,0.22,-0.67,-1.12
6.32,300.0,-296.0,15148.0,1.6,0.16,-1.12,-1.11
6.38,284.0,-252.0,15252.0,1.71,0.28,-0.95,-1.08
6.44,380.0,-252.0,15156.0,1.68,0.26,-0.95,-1.05
6.5,428.0,-204.0,15060.0,1.68,0.26,-0.78,-1.01
6.56,444.0,-296.0,14984.0,1.7,0.31,-1.13,-1.01
6.62,348.0,-376.0,15056.0,1.7,0.3,-1.43,-1.03
6.68,456.0,-428.0,14956.0,1.6,0.16,-1.64,-1.09
6.73,420.0,-400.0,15356.0,1.74,0.26,-1.49,-1.11
6.79,480.0,192.0,14700.0,1.47,-0.05,0.75,-0.93
