Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch
4.49,-0.09,-0.34,0.15,-0.02,1.62,-5.98,-4.58,1.55,-4.89
4.55,-0.14,-0.3,0.19,-0.04,1.62,-6.0,-4.93,1.69,-4.9
4.62,-0.03,-0.15,-0.06,0.07,1.61,-6.01,-4.88,1.99,-4.89
4.68,-0.06,-0.62,0.05,0.04,1.61,-6.05,-5.08,1.25,-4.91
4.74,-0.13,-0.3,-0.14,-0.05,1.6,-6.06,-4.73,1.65,-4.89
4.81,-0.05,-0.05,-0.13,0.04,1.6,-6.07,-4.79,1.56,-4.88
4.87,-0.07,-0.47,-0.11,0.04,1.59,-6.1,-5.19,1.74,-4.91
4.94,-0.01,-0.21,0.06,0.07,1.59,-6.11,-4.92,1.7,-4.91
5.0,-0.04,-0.24,0.04,0.04,1.59,-6.13,-4.99,1.3,-4.91
5.07,-0.13,-0.23,0.11,-0.06,1.58,-6.14,-4.89,1.11,-4.91
5.13,-0.05,0.03,0.05,0.03,1.58,-6.14,-4.67,1.33,-4.89
5.19,-0.11,-0.34,-0.02,-0.01,1.57,-6.16,-4.85,1.73,-4.88
5.26,-0.09,-0.04,0.01,0.01,1.57,-6.16,-4.73,1.27,-4.87
5.32,-0.05,-0.21,0.09,0.06,1.56,-6.18,-5.02,1.64,-4.88
5.38,-0.04,-0.25,0.11,0.06,1.56,-6.19,-5.16,1.47,-4.91
5.45,0.0,-0.06,0.04,0.08,1.56,-6.2,-5.1,1.49,-4.92
5.51,0.05,-0.38,0.15,0.11,1.57,-6.22,-4.92,1.7,-4.92
5.57,-0.11,-0.06,0.02,-0.05,1.56,-6.22,-4.9,1.47,-4.92
5.64,-0.11,-0.31,0.07,-0.05,1.55,-6.24,-4.84,1.05,-4.91
5.7,-0.11,-0.11,-0.05,-0.04,1.54,-6.25,-4.72,1.01,-4.89
5.77,-0.11,-0.25,-0.04,-0.03,1.54,-6.27,-4.69,1.54,-4.87
5.83,-0.06,-0.24,0.18,0.04,1.53,-6.28,-5.02,1.48,-4.89
5.9,-0.19,-0.28,-0.03,-0.1,1.52,-6.3,-4.63,1.56,-4.87
5.96,-0.07,-0.26,0.06,0.04,1.52,-6.32,-4.98,1.38,-4.88
6.03,-0.02,-0.34,0.12,0.08,1.51,-6.34,-4.91,1.68,-4.88
6.09,-0.15,-0.29,-0.07,-0.05,1.5,-6.36,-4.98,1.61,-4.89
6.16,-0.05,-0.24,-0.11,0.04,1.5,-6.37,-5.26,1.26,-4.93
6.22,-0.11,-0.28,0.06,-0.06,1.49,-6.39,-5.03,1.84,-4.94
