Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch,DMPYaw,DMPPitch,DMPRoll
6.49,0.0,0.01,-0.01,0.01,1.5,1.71,1.52,1.42,1.78,-67.07,0.75,4.31
6.57,-0.01,0.0,0.01,-0.02,1.5,1.71,1.77,1.58,1.78,-67.04,0.76,4.3
6.66,0.0,-0.01,-0.01,-0.01,1.5,1.71,1.74,1.64,1.77,-67.01,0.76,4.31
6.74,-0.01,0.0,-0.01,-0.05,1.49,1.71,1.92,1.53,1.75,-66.03,0.91,4.24
6.83,0.0,-0.01,0.0,-0.03,1.49,1.7,1.82,1.68,1.76,-66.0,0.91,4.24
6.91,0.0,-0.02,0.01,-0.02,1.49,1.7,1.98,1.53,1.78,-65.96,0.92,4.23
6.99,-0.01,0.0,0.0,-0.02,1.49,1.7,1.76,1.33,1.77,-65.94,0.92,4.23
7.07,-0.01,0.01,-0.01,-0.02,1.49,1.7,1.92,1.23,1.78,-64.96,1.04,4.18
7.16,-0.01,-0.01,0.0,-0.01,1.49,1.7,1.88,1.38,1.79,-64.92,1.04,4.18
7.24,0.0,0.0,0.0,0.01,1.49,1.7,1.89,1.59,1.8,-64.89,1.05,4.18
7.32,0.01,0.0,-0.01,0.02,1.49,1.7,1.87,1.53,1.81,-64.86,1.05,4.17
7.4,0.0,-0.01,0.0,0.01,1.49,1.7,1.63,1.53,1.79,-63.88,1.13,4.14
7.48,-0.01,0.0,0.0,-0.01,1.49,1.7,1.82,1.53,1.79,-63.84,1.14,4.13
7.57,-0.01,-0.01,0.0,-0.0,1.49,1.7,1.92,1.55,1.8,-63.82,1.14,4.13
7.65,-0.01,0.0,0.01,0.01,1.49,1.7,1.67,1.45,1.79,-63.78,1.14,4.13
7.73,-0.01,-0.01,-0.01,-0.01,1.49,1.7,1.75,1.67,1.77,-62.8,1.21,4.09
7.82,-0.01,0.0,-0.01,-0.02,1.49,1.7,1.9,1.5,1.79,-62.77,1.21,4.09
7.9,0.01,-0.01,0.0,0.01,1.49,1.7,1.95,1.4,1.8,-62.74,1.21,4.09
7.98,0.0,0.01,-0.01,0.01,1.49,1.7,1.67,1.54,1.79,-62.7,1.22,4.1
8.07,-0.02,-0.02,0.01,-0.03,1.49,1.7,1.55,1.58,1.75,-61.7,1.27,4.06
8.16,0.0,0.0,0.0,-0.03,1.49,1.7,1.82,1.62,1.75,-61.66,1.27,4.06
8.24,-0.01,0.0,-0.01,-0.03,1.49,1.7,1.74,1.6,1.75,-61.63,1.27,4.06
8.32,0.0,-0.01,0.0,-0.02,1.49,1.7,1.68,1.47,1.74,-61.59,1.28,4.06
8.41,-0.01,0.01,0.0,0.0,1.49,1.7,1.9,1.65,1.79,-60.58,1.32,4.04
8.49,-0.01,-0.02,0.0,0.01,1.49,1.7,1.69,1.4,1.79,-60.55,1.32,4.04
8.57,0.0,-0.01,-0.01,0.01,1.49,1.7,1.91,1.44,1.8,-60.51,1.32,4.04
8.66,-0.01,-0.01,0.01,0.01,1.49,1.69,1.55,1.41,1.78,-60.48,1.32,4.04
8.74,-0.01,0.0,0.0,-0.01,1.49,1.7,1.78,1.55,1.77,-59.5,1.35,4.01
8.82,-0.01,0.01,0.0,-0.01,1.49,1.7,1.61,1.51,1.75,-59.47,1.35,4.02
8.91,-0.01,0.0,-0.01,-0.02,1.49,1.7,1.84,1.56,1.76,-59.44,1.35,4.02
8.99,-0.01,0.0,0.01,-0.02,1.48,1.7,1.56,1.62,1.74,-59.41,1.35,4.02
9.08,-0.01,-0.01,0.0,0.01,1.48,1.7,1.65,1.52,1.79,-58.38,1.39,4.0
9.16,0.0,0.0,0.0,0.01,1.48,1.7,1.83,1.57,1.79,-58.35,1.39,4.0
9.24,-0.01,0.0,0.0,0.01,1.48,1.7,1.75,1.52,1.79,-58.32,1.39,4.0
9.32,0.0,-0.02,-0.01,0.01,1.48,1.69,1.79,1.42,1.79,-58.29,1.39,4.0
9.41,0.01,0.0,0.0,-0.0,1.48,1.69,1.81,1.45,1.76,-57.31,1.41,3.99
9.49,0.0,-0.01,0.0,-0.01,1.48,1.69,1.92,1.34,1.78,-57.28,1.41,3.99
9.57,0.0,0.01,-0.01,0.0,1.48,1.69,1.45,1.51,1.75,-57.24,1.41,3.99
9.65,-0.02,-0.01,0.0,-0.03,1.48,1.69,1.83,1.6,1.75,-57.21,1.41,3.99
9.74,0.0,-0.02,-0.01,-0.02,1.48,1.69,2.01,1.39,1.77,-56.22,1.43,3.98
9.82,0.0,0.0,0.01,-0.0,1.48,1.69,1.82,1.43,1.77,-56.19,1.43,3.98
9.9,0.0,0.0,0.0,0.0,1.48,1.69,1.81,1.68,1.78,-56.16,1.43,3.98
9.98,0.0,0.0,0.0,0.01,1.48,1.69,1.82,1.44,1.78,-56.13,1.43,3.98
10.07,-0.01,-0.02,0.01,0.04,1.48,1.69,1.9,1.4,1.84,-55.14,1.45,3.97
10.15,-0.01,0.0,0.0,0.05,1.48,1.69,1.76,1.23,1.84,-55.11,1.45,3.97
10.24,-0.02,-0.01,0.0,0.03,1.48,1.69,2.12,1.44,1.86,-55.08,1.45,3.97
10.32,0.0,0.0,0.0,0.07,1.48,1.69,1.81,1.6,1.86,-55.05,1.45,3.97
10.41,0.0,-0.01,-0.01,0.03,1.48,1.69,1.87,1.53,1.84,-54.02,1.46,3.96
10.49,0.0,0.02,-0.01,0.04,1.48,1.69,1.75,1.65,1.83,-53.99,1.46,3.96
10.57,-0.01,0.01,-0.01,0.02,1.48,1.7,1.92,1.65,1.84,-53.96,1.46,3.96
10.66,0.0,-0.01,-0.01,0.04,1.48,1.69,1.89,1.49,1.85,-53.93,1.46,3.96
10.75,-0.01,-0.01,-0.01,0.03,1.48,1.69,1.84,1.42,1.85,-52.91,1.47,3.96
10.83,0.0,-0.01,-0.01,0.04,1.48,1.69,1.75,1.53,1.85,-52.88,1.47,3.96
