Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch,DMPPitch
4.52,368.0,2388.0,14796.0,0.21,-0.01,9.17,8.93,16.55
4.59,396.0,2376.0,14764.0,0.2,-0.0,9.14,8.95,16.51
4.66,274.0,2424.0,14918.0,0.2,0.01,9.23,8.97,16.47
4.73,326.0,2368.0,14912.0,0.19,0.04,9.02,9.0,15.42
4.79,386.0,2256.0,14916.0,0.2,0.05,8.6,8.97,15.39
4.86,328.0,2392.0,14830.0,0.21,0.03,9.16,8.98,15.36
4.93,376.0,2338.0,14816.0,0.2,0.03,8.97,8.99,15.33
4.99,364.0,2294.0,14904.0,0.21,0.04,8.75,8.97,15.3
5.07,288.0,2304.0,14814.0,0.2,0.01,8.84,8.95,14.47
5.13,398.0,2310.0,14776.0,0.2,0.0,8.89,8.94,14.44
5.2,368.0,2354.0,14906.0,0.19,-0.01,8.97,8.94,14.42
5.27,396.0,2302.0,14814.0,0.21,0.01,8.83,8.93,14.39
5.33,348.0,2260.0,14838.0,0.2,-0.01,8.66,8.91,14.37
5.41,362.0,2330.0,14888.0,0.2,-0.0,8.89,8.93,13.72
5.48,398.0,2356.0,14770.0,0.2,-0.01,9.06,8.94,13.69
5.54,330.0,2344.0,14822.0,0.2,0.0,8.99,8.95,13.67
5.61,360.0,2294.0,14788.0,0.19,-0.0,8.82,8.94,13.66
5.68,358.0,2356.0,14838.0,0.21,0.0,9.02,8.94,13.64
5.75,328.0,2334.0,14830.0,0.19,0.01,8.94,8.96,13.13
5.81,344.0,2286.0,15022.0,0.19,0.01,8.65,8.94,13.11
5.88,332.0,2348.0,15094.0,0.19,-0.01,8.84,8.93,13.1
5.95,328.0,2398.0,14858.0,0.2,-0.01,9.17,8.95,13.08
6.01,342.0,2226.0,14872.0,0.2,0.0,8.51,8.91,13.07
6.09,328.0,2286.0,14754.0,0.21,0.0,8.81,8.93,12.66
6.15,356.0,2196.0,14828.0,0.2,-0.01,8.42,8.88,12.65
6.22,334.0,2370.0,14780.0,0.21,-0.03,9.11,8.9,12.64
6.29,298.0,2286.0,14874.0,0.2,-0.03,8.74,8.89,12.63
6.35,348.0,2338.0,14810.0,0.19,-0.05,8.97,8.89,12.62
6.43,350.0,2302.0,14858.0,0.2,-0.02,8.81,8.9,12.31
6.49,322.0,2314.0,14810.0,0.21,-0.02,8.88,8.89,12.29
6.56,348.0,2382.0,14910.0,0.2,-0.03,9.08,8.91,12.28
6.63,364.0,2282.0,14846.0,0.2,-0.02,8.74,8.89,12.28
6.7,326.0,2332.0,14852.0,0.2,-0.03,8.92,8.89,12.27
6.77,298.0,2316.0,14924.0,0.21,-0.01,8.82,8.9,12.01
6.83,366.0,2338.0,14794.0,0.21,-0.01,8.98,8.91,12.01
6.9,316.0,2378.0,14962.0,0.2,-0.01,9.03,8.92,12.0
6.97,294.0,2306.0,14846.0,0.21,0.0,8.83,8.91,11.99
7.03,290.0,2374.0,14844.0,0.21,-0.0,9.09,8.93,11.98
7.1,292.0,2288.0,14948.0,0.21,-0.0,8.7,8.89,11.78
7.17,290.0,2324.0,14926.0,0.19,-0.03,8.85,8.88,11.77
7.24,338.0,2322.0,14724.0,0.21,-0.02,8.96,8.89,11.77
7.31,288.0,2346.0,14890.0,0.2,-0.02,8.95,8.9,11.76
7.37,358.0,2312.0,14796.0,0.21,-0.01,8.88,8.89,11.76
7.44,402.0,2344.0,14782.0,0.2,0.0,9.01,8.93,11.61
7.51,350.0,2316.0,14814.0,0.21,0.02,8.89,8.92,11.6
7.58,360.0,2252.0,14818.0,0.2,0.0,8.64,8.9,11.6
7.64,314.0,2340.0,15038.0,0.2,-0.02,8.84,8.89,11.59
7.71,336.0,2256.0,14764.0,0.19,-0.03,8.69,8.87,11.59
7.78,334.0,2402.0,14996.0,0.21,0.01,9.1,8.93,11.47
7.85,296.0,2322.0,14886.0,0.2,0.01,8.87,8.92,11.47
7.92,352.0,2350.0,14818.0,0.2,0.01,9.01,8.93,11.46
7.98,314.0,2338.0,14732.0,0.21,0.02,9.02,8.94,11.46
8.05,350.0,2348.0,14808.0,0.2,0.02,9.01,8.95,11.46
8.12,382.0,2400.0,14918.0,0.21,0.04,9.14,8.97,11.36
8.19,304.0,2332.0,14996.0,0.21,0.05,8.84,8.96,11.36
8.26,348.0,2314.0,14840.0,0.2,0.03,8.86,8.96,11.36
8.32,288.0,2316.0,14800.0,0.21,0.03,8.89,8.95,11.36
8.39,282.0,2336.0,14830.0,0.19,0.01,8.95,8.96,11.36
8.46,404.0,2330.0,14826.0,0.19,0.0,8.93,8.94,11.29
8.53,334.0,2308.0,14840.0,0.2,0.01,8.84,8.94,11.28
8.6,400.0,2322.0,14832.0,0.19,-0.0,8.9,8.93,11.28
8.66,358.0,2408.0,14862.0,0.2,0.0,9.2,8.96,11.28
8.73,312.0,2380.0,14840.0,0.19,0.01,9.11,8.97,11.28
8.8,410.0,2292.0,14792.0,0.21,0.03,8.81,8.95,11.23
8.87,332.0,2300.0,14910.0,0.21,0.02,8.77,8.94,11.22
8.94,368.0,2398.0,14906.0,0.2,0.01,9.14,8.96,11.22
9.0,392.0,2376.0,14868.0,0.21,0.02,9.08,8.97,11.22
9.07,308.0,2376.0,15026.0,0.2,0.02,8.99,8.97,11.22
9.14,372.0,2326.0,14848.0,0.2,-0.01,8.9,8.93,11.17
9.21,346.0,2292.0,14852.0,0.21,0.0,8.77,8.92,11.17
9.28,382.0,2364.0,14886.0,0.19,-0.02,9.02,8.93,11.16
9.34,406.0,2338.0,14750.0,0.21,-0.0,9.01,8.93,11.17
9.41,334.0,2286.0,14862.0,0.21,0.0,8.74,8.92,11.16
9.48,376.0,2306.0,14634.0,0.19,-0.05,8.95,8.89,11.13
9.55,346.0,2342.0,14732.0,0.21,-0.03,9.03,8.9,11.13
9.62,268.0,2328.0,14758.0,0.19,-0.04,8.96,8.9,11.13
9.68,384.0,2358.0,14732.0,0.2,-0.02,9.09,8.92,11.12
9.75,280.0,2340.0,14890.0,0.21,0.0,8.93,8.92,11.13
9.82,342.0,2342.0,14748.0,0.2,0.0,9.02,8.94,11.1
