Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch
10.3,328.0,7224.0,12852.0,1.72,0.07,-29.34,-29.0
10.36,356.0,7088.0,12432.0,1.73,0.05,-29.69,-29.06
10.43,252.0,7484.0,13860.0,1.71,-0.02,-28.37,-28.99
10.49,248.0,7416.0,13432.0,1.55,-0.12,-28.9,-28.99
10.55,392.0,7460.0,13492.0,1.57,-0.09,-28.94,-28.99
10.62,240.0,7492.0,13308.0,1.53,-0.13,-29.38,-29.04
10.68,276.0,7460.0,13396.0,1.49,-0.2,-29.11,-29.06
10.74,264.0,7436.0,13376.0,1.53,-0.16,-29.07,-29.07
10.8,456.0,7436.0,13216.0,1.57,-0.12,-29.36,-29.11
10.87,284.0,7248.0,13240.0,1.54,-0.18,-28.7,-29.07
10.93,308.0,7280.0,13208.0,1.63,-0.05,-28.86,-29.05
10.99,356.0,7324.0,13112.0,1.63,-0.04,-29.19,-29.07
11.06,312.0,7412.0,13332.0,1.64,-0.04,-29.07,-29.07
11.12,308.0,7224.0,13084.0,1.81,0.13,-28.9,-29.05
11.18,356.0,7404.0,13184.0,1.6,-0.07,-29.32,-29.08
11.25,348.0,7364.0,13180.0,1.51,-0.18,-29.19,-29.1
11.31,376.0,7312.0,13280.0,1.6,-0.09,-28.84,-29.08
11.37,252.0,7356.0,13368.0,1.51,-0.16,-28.82,-29.06
11.44,340.0,7408.0,13216.0,1.53,-0.12,-29.27,-29.09
11.5,280.0,7420.0,13184.0,1.6,-0.07,-29.37,-29.12
11.56,232.0,7312.0,13364.0,1.61,-0.08,-28.68,-29.08
11.62,320.0,7220.0,13188.0,1.66,0.01,-28.7,-29.04
11.69,380.0,7312.0,13104.0,1.69,0.06,-29.16,-29.05
11.75,248.0,7348.0,13276.0,1.71,0.07,-28.96,-29.04
11.81,320.0,7220.0,13232.0,1.45,-0.18,-28.62,-29.01
11.87,256.0,7352.0,13164.0,1.58,-0.02,-29.18,-29.02
11.94,144.0,7292.0,13260.0,1.69,0.07,-28.81,-29.0
12.0,356.0,7264.0,13288.0,1.53,-0.06,-28.66,-28.97
12.06,376.0,7368.0,13368.0,1.53,-0.04,-28.86,-28.96
12.13,220.0,7304.0,13348.0,1.63,0.07,-28.69,-28.93
12.19,436.0,7340.0,13152.0,1.55,0.01,-29.17,-28.95
12.25,364.0,7364.0,13292.0,1.49,-0.07,-28.99,-28.96
12.31,428.0,7268.0,13224.0,1.69,0.12,-28.79,-28.93
12.37,372.0,7284.0,13032.0,1.69,0.13,-29.2,-28.95
12.44,296.0,7276.0,12992.0,1.51,-0.06,-29.25,-28.99
12.5,336.0,7312.0,13140.0,1.73,0.13,-29.09,-28.99
12.56,352.0,7368.0,13276.0,1.65,0.05,-29.03,-28.99
12.62,304.0,7264.0,13344.0,1.58,-0.03,-28.56,-28.95
12.69,352.0,7328.0,13360.0,1.68,0.11,-28.74,-28.92
12.75,268.0,7396.0,13400.0,1.64,0.08,-28.9,-28.92
12.81,380.0,7428.0,13496.0,1.68,0.12,-28.83,-28.9
12.87,312.0,7352.0,13308.0,1.63,0.08,-28.92,-28.9
12.94,256.0,7484.0,13276.0,1.6,0.05,-29.41,-28.95
13.0,388.0,7264.0,13212.0,1.53,-0.06,-28.8,-28.94
13.06,284.0,7288.0,13064.0,1.56,-0.02,-29.16,-28.96
13.12,304.0,7308.0,13220.0,1.56,-0.04,-28.93,-28.96
13.19,296.0,7456.0,13348.0,1.66,0.07,-29.19,-28.98
13.25,360.0,7284.0,13280.0,1.54,-0.07,-28.74,-28.96
13.31,264.0,7552.0,13272.0,1.57,-0.02,-29.64,-29.03
13.38,360.0,7384.0,13380.0,1.67,0.03,-28.89,-29.01
13.44,276.0,7380.0,13336.0,1.7,0.07,-28.96,-29.01
13.5,372.0,7328.0,13340.0,1.54,-0.09,-28.78,-28.99
13.56,232.0,7264.0,13152.0,1.74,0.13,-28.91,-28.97
13.62,316.0,7368.0,13176.0,1.65,0.04,-29.21,-28.99
13.69,352.0,7388.0,13116.0,1.75,0.12,-29.39,-29.03
13.75,344.0,7248.0,13332.0,1.6,-0.06,-28.53,-28.98
13.81,420.0,7276.0,13172.0,1.52,-0.1,-28.92,-28.98
13.88,384.0,7420.0,13276.0,1.5,-0.12,-29.2,-29.01
13.94,176.0,7348.0,13320.0,1.53,-0.1,-28.88,-29.0
14.0,320.0,7396.0,13220.0,1.48,-0.14,-29.23,-29.03
14.06,388.0,7344.0,13236.0,1.6,-0.04,-29.02,-29.03
14.13,348.0,7420.0,13380.0,1.63,-0.01,-29.01,-29.03
