Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch
10.26,492.0,-3552.0,14620.0,2.17,0.26,13.66,13.45
10.32,360.0,-3540.0,15056.0,1.53,-0.36,13.23,13.41
10.38,416.0,-3640.0,14692.0,2.1,0.19,13.92,13.47
10.44,368.0,-3632.0,14512.0,1.97,0.1,14.05,13.54
10.5,480.0,-3512.0,14772.0,2.08,0.25,13.37,13.54
10.56,372.0,-3524.0,14816.0,2.03,0.19,13.38,13.53
10.63,416.0,-3580.0,14652.0,1.82,-0.03,13.73,13.55
10.69,492.0,-3564.0,14736.0,1.92,0.08,13.6,13.56
10.75,368.0,-3600.0,14824.0,1.98,0.14,13.65,13.58
10.81,376.0,-3496.0,14748.0,1.92,0.09,13.34,13.56
10.87,316.0,-3504.0,14832.0,1.85,0.0,13.29,13.53
10.93,456.0,-3528.0,14812.0,1.75,-0.12,13.4,13.51
10.99,308.0,-3476.0,14640.0,1.82,-0.06,13.36,13.49
11.06,368.0,-3432.0,14700.0,1.76,-0.13,13.14,13.45
11.12,412.0,-3456.0,14820.0,1.82,-0.09,13.13,13.41
11.18,404.0,-3392.0,14512.0,2.04,0.1,13.16,13.39
11.24,384.0,-3500.0,14544.0,2.05,0.1,13.53,13.41
11.3,484.0,-3364.0,14692.0,1.97,0.03,12.9,13.36
11.36,276.0,-3472.0,14728.0,1.67,-0.31,13.26,13.33
11.43,396.0,-3544.0,14612.0,1.87,-0.12,13.63,13.36
11.49,544.0,-3452.0,14684.0,2.34,0.37,13.23,13.36
11.55,260.0,-3448.0,15036.0,1.79,-0.18,12.92,13.31
11.61,412.0,-3660.0,14780.0,2.0,-0.01,13.91,13.37
11.67,316.0,-3540.0,14832.0,1.89,-0.08,13.42,13.37
11.73,400.0,-3548.0,14800.0,1.88,-0.08,13.48,13.38
11.8,404.0,-3532.0,14788.0,1.56,-0.39,13.43,13.36
11.86,300.0,-3580.0,15024.0,1.77,-0.17,13.4,13.36
11.92,284.0,-3532.0,15000.0,1.87,-0.07,13.25,13.34
11.98,392.0,-3608.0,14764.0,1.54,-0.41,13.73,13.36
12.05,312.0,-3600.0,14832.0,2.01,0.09,13.64,13.39
12.11,484.0,-3588.0,14696.0,1.76,-0.13,13.72,13.42
12.17,304.0,-3508.0,14700.0,1.81,-0.06,13.42,13.42
12.23,456.0,-3576.0,14592.0,1.87,-0.0,13.77,13.45
12.29,400.0,-3512.0,14724.0,1.88,0.03,13.42,13.45
12.35,320.0,-3400.0,14744.0,1.98,0.13,12.99,13.41
12.41,420.0,-3516.0,14700.0,1.82,-0.07,13.45,13.41
12.48,404.0,-3536.0,14744.0,2.01,0.13,13.49,13.43
12.54,400.0,-3456.0,14512.0,2.05,0.18,13.4,13.43
12.6,284.0,-3576.0,14552.0,2.05,0.18,13.81,13.48
12.66,280.0,-3392.0,14784.0,2.11,0.26,12.92,13.44
12.72,396.0,-3444.0,14720.0,2.0,0.11,13.17,13.42
12.78,312.0,-3588.0,14884.0,2.02,0.1,13.55,13.44
12.84,416.0,-3588.0,14848.0,1.9,-0.0,13.59,13.45
12.9,424.0,-3592.0,14820.0,1.95,0.05,13.62,13.47
12.97,392.0,-3584.0,14836.0,1.85,-0.03,13.58,13.48
13.03,412.0,-3428.0,14864.0,1.78,-0.09,12.99,13.43
13.09,328.0,-3488.0,14812.0,1.76,-0.15,13.25,13.4
13.15,336.0,-3524.0,14848.0,2.07,0.15,13.35,13.4
13.21,348.0,-3500.0,14812.0,1.82,-0.11,13.29,13.39
13.28,472.0,-3524.0,14860.0,2.1,0.17,13.34,13.39
13.34,376.0,-3448.0,14864.0,0.72,-1.22,13.06,13.29
13.4,372.0,-3744.0,14588.0,2.13,0.17,14.39,13.41
13.46,528.0,-3476.0,14732.0,2.07,0.2,13.28,13.41
13.52,376.0,-3324.0,14788.0,1.49,-0.4,12.67,13.31
13.58,300.0,-3588.0,14784.0,1.87,-0.07,13.64,13.34
13.64,324.0,-3636.0,15108.0,2.02,0.11,13.53,13.37
13.71,440.0,-3588.0,14856.0,1.76,-0.14,13.58,13.38
13.77,336.0,-3512.0,14768.0,1.9,0.02,13.38,13.38
13.83,352.0,-3544.0,14884.0,1.68,-0.2,13.39,13.37
13.89,376.0,-3648.0,14768.0,1.87,-0.01,13.88,13.42
13.95,416.0,-3440.0,14868.0,1.89,0.04,13.03,13.38
14.01,464.0,-3592.0,14648.0,1.47,-0.41,13.78,13.4
14.08,276.0,-3356.0,14720.0,2.02,0.17,12.84,13.35
14.14,384.0,-3372.0,14840.0,1.78,-0.11,12.8,13.29
14.2,252.0,-3564.0,14756.0,1.87,-0.06,13.58,13.32
14.26,352.0,-3484.0,14640.0,1.76,-0.15,13.39,13.32
14.32,408.0,-3600.0,14564.0,1.98,0.09,13.88,13.38
14.38,348.0,-3516.0,14736.0,1.98,0.13,13.42,13.39
14.45,472.0,-3412.0,14740.0,1.66,-0.19,13.03,13.34
14.51,360.0,-3604.0,14728.0,2.03,0.15,13.75,13.39
14.57,416.0,-3544.0,14760.0,1.8,-0.05,13.5,13.4
14.63,460.0,-3560.0,14636.0,1.82,-0.03,13.67,13.43
14.69,404.0,-3528.0,14596.0,1.87,0.05,13.59,13.45
14.75,344.0,-3580.0,14620.0,1.73,-0.08,13.76,13.48
14.82,448.0,-3544.0,14588.0,1.98,0.2,13.65,13.5
14.88,448.0,-3560.0,14748.0,2.0,0.23,13.57,13.52
14.94,308.0,-3436.0,14696.0,1.79,0.02,13.16,13.49
15.0,396.0,-3532.0,14708.0,2.07,0.27,13.5,13.5
15.06,448.0,-3364.0,14740.0,1.85,0.06,12.86,13.44
15.12,368.0,-3452.0,14764.0,1.91,0.06,13.16,13.42
15.18,424.0,-3480.0,14800.0,2.05,0.19,13.23,13.41
15.24,508.0,-3580.0,14860.0,1.99,0.11,13.55,13.43
15.3,352.0,-3580.0,14748.0,1.83,-0.04,13.64,13.45
15.37,440.0,-3528.0,14836.0,1.82,-0.03,13.38,13.44
15.43,272.0,-3512.0,14744.0,1.92,0.06,13.4,13.44
15.49,372.0,-3504.0,14612.0,2.08,0.22,13.49,13.45
15.55,500.0,-3548.0,14916.0,1.92,0.05,13.38,13.45
15.61,360.0,-3460.0,14820.0,2.25,0.38,13.14,13.44
15.67,456.0,-3672.0,15080.0,1.85,-0.04,13.69,13.46
15.73,388.0,-3544.0,14692.0,1.76,-0.11,13.56,13.47
15.8,484.0,-3480.0,14636.0,1.93,0.07,13.37,13.46
15.86,400.0,-3552.0,14784.0,1.79,-0.09,13.51,13.46
15.92,332.0,-3560.0,14844.0,1.68,-0.19,13.49,13.45
15.98,404.0,-3492.0,14748.0,1.79,-0.08,13.32,13.43
16.04,308.0,-3580.0,14724.0,1.98,0.11,13.67,13.46
16.11,560.0,-3480.0,14612.0,1.89,0.03,13.4,13.46
16.17,404.0,-3544.0,14732.0,1.96,0.1,13.53,13.47
16.23,356.0,-3560.0,14652.0,1.93,0.07,13.66,13.49
16.29,368.0,-3500.0,14776.0,2.06,0.22,13.33,13.49
16.35,376.0,-3420.0,14624.0,1.95,0.09,13.16,13.46
16.41,348.0,-3508.0,14632.0,1.92,0.03,13.48,13.46
16.47,332.0,-3576.0,14584.0,2.16,0.28,13.78,13.51
16.53,476.0,-3560.0,14724.0,1.89,0.03,13.59,13.52
16.59,352.0,-3536.0,14748.0,2.07,0.21,13.48,13.53
16.65,316.0,-3508.0,14956.0,1.97,0.11,13.2,13.5
16.72,356.0,-3544.0,14736.0,2.02,0.13,13.52,13.51
16.78,392.0,-3628.0,14760.0,2.14,0.26,13.81,13.56
16.84,348.0,-3560.0,14792.0,2.04,0.18,13.53,13.56
16.9,388.0,-3516.0,14848.0,2.0,0.14,13.32,13.55
16.96,308.0,-3536.0,14796.0,1.69,-0.2,13.44,13.52
17.02,464.0,-3580.0,14700.0,1.82,-0.06,13.69,13.54
17.08,320.0,-3480.0,14280.0,1.94,0.06,13.7,13.56
