Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch
3.21,320.0,-12.0,14984.0,1.89,-0.11,-1.22,-1.16
3.27,260.0,-72.0,14976.0,1.67,-0.34,-0.99,-1.16
3.34,304.0,24.0,14840.0,1.94,-0.06,-1.17,-1.16
3.4,400.0,0.0,15104.0,1.56,-0.43,-1.52,-1.22
3.46,284.0,116.0,15004.0,1.6,-0.43,-1.08,-1.23
3.53,256.0,0.0,15032.0,1.94,-0.07,-0.98,-1.21
3.59,316.0,-24.0,15200.0,1.6,-0.39,-1.19,-1.23
3.65,352.0,80.0,15124.0,1.85,-0.13,-1.33,-1.25
3.71,392.0,-44.0,15004.0,1.84,-0.15,-1.5,-1.28
3.78,248.0,68.0,15052.0,1.9,-0.11,-0.94,-1.25
3.84,324.0,-8.0,14984.0,1.72,-0.27,-1.24,-1.27
3.9,396.0,16.0,15124.0,1.84,-0.14,-1.5,-1.3
3.97,328.0,92.0,14992.0,1.79,-0.21,-1.25,-1.31
4.03,320.0,-64.0,15032.0,1.83,-0.16,-1.22,-1.31
4.16,264.0,-76.0,15120.0,2.01,0.05,-1.0,-1.25
4.22,440.0,-24.0,15104.0,1.85,-0.09,-1.67,-1.3
4.28,364.0,24.0,15116.0,1.96,-0.01,-1.38,-1.31
4.35,336.0,48.0,15136.0,1.73,-0.25,-1.27,-1.32
4.41,204.0,-52.0,15220.0,1.62,-0.36,-0.77,-1.28
4.54,320.0,8.0,15204.0,1.89,-0.04,-1.21,-1.29
4.85,256.0,20.0,15084.0,1.72,-0.16,-0.97,-1.23
4.92,376.0,40.0,15140.0,2.01,0.15,-1.42,-1.24
4.98,324.0,28.0,15056.0,1.94,0.07,-1.23,-1.24
5.1,300.0,-24.0,14944.0,1.66,-0.2,-1.15,-1.23
5.35,332.0,16.0,15100.0,1.81,-0.04,-1.26,-1.21
5.42,468.0,-68.0,15128.0,2.01,0.16,-1.77,-1.26
5.48,372.0,-12.0,15148.0,1.92,0.03,-1.41,-1.27
5.54,428.0,-4.0,15060.0,1.66,-0.25,-1.63,-1.32
5.6,332.0,92.0,15012.0,1.69,-0.24,-1.27,-1.33
5.92,284.0,16.0,14968.0,1.75,-0.21,-1.09,-1.35
5.98,304.0,76.0,15092.0,1.84,-0.09,-1.15,-1.34
6.04,384.0,48.0,15084.0,1.79,-0.13,-1.46,-1.36
6.11,372.0,84.0,15016.0,1.83,-0.09,-1.42,-1.37
6.17,224.0,92.0,15064.0,1.81,-0.12,-0.85,-1.32
6.36,392.0,-52.0,14984.0,1.94,0.09,-1.5,-1.29
6.61,376.0,32.0,15232.0,1.94,0.05,-1.41,-1.3
6.67,260.0,-16.0,14940.0,1.79,-0.1,-1.0,-1.28
6.74,308.0,-56.0,15004.0,1.84,-0.03,-1.18,-1.27
6.86,300.0,-4.0,15068.0,1.98,0.13,-1.14,-1.23
6.92,356.0,52.0,15088.0,2.01,0.17,-1.35,-1.23
7.05,312.0,4.0,14972.0,1.77,-0.07,-1.19,-1.23
7.11,364.0,72.0,15204.0,1.73,-0.11,-1.37,-1.25
7.18,260.0,44.0,14900.0,1.82,-0.03,-1.0,-1.23
7.37,336.0,92.0,15024.0,1.92,0.09,-1.28,-1.23
7.55,420.0,108.0,14952.0,2.12,0.31,-1.61,-1.23
7.74,344.0,-96.0,15112.0,1.82,-0.05,-1.3,-1.28
7.81,396.0,24.0,15140.0,1.97,0.1,-1.5,-1.29
7.87,488.0,32.0,15036.0,2.09,0.2,-1.86,-1.34
8.5,384.0,20.0,15088.0,1.71,-0.21,-1.46,-1.41
8.69,348.0,104.0,15000.0,2.05,0.17,-1.33,-1.34
8.81,400.0,20.0,15084.0,1.86,0.03,-1.52,-1.3
8.87,328.0,-24.0,14948.0,1.89,0.04,-1.26,-1.29
8.94,296.0,28.0,15064.0,1.61,-0.24,-1.13,-1.29
9.0,340.0,-16.0,15024.0,1.88,0.05,-1.3,-1.28
9.44,260.0,64.0,15088.0,1.94,0.18,-0.99,-1.14
9.56,376.0,40.0,15184.0,2.05,0.3,-1.42,-1.16
9.62,308.0,-32.0,15164.0,2.03,0.25,-1.16,-1.15
9.69,344.0,48.0,14988.0,1.93,0.15,-1.31,-1.16
9.75,380.0,-52.0,14944.0,1.89,0.09,-1.46,-1.18
9.81,332.0,-8.0,14896.0,1.83,0.02,-1.28,-1.19
9.87,352.0,-32.0,15104.0,1.9,0.08,-1.34,-1.2
9.94,348.0,4.0,15140.0,1.73,-0.1,-1.32,-1.22
10.0,208.0,-24.0,15160.0,1.84,-0.0,-0.79,-1.18
10.06,168.0,0.0,15032.0,1.85,0.04,-0.64,-1.12
10.19,440.0,32.0,14976.0,1.89,0.1,-1.68,-1.21
10.77,256.0,40.0,15020.0,1.82,0.01,-0.98,-1.18
10.83,308.0,128.0,15012.0,1.94,0.14,-1.18,-1.17
10.89,304.0,36.0,15032.0,1.79,-0.02,-1.16,-1.17
10.96,400.0,28.0,14920.0,1.99,0.19,-1.54,-1.2
11.08,244.0,0.0,14952.0,1.84,-0.01,-0.93,-1.19
11.15,412.0,24.0,15004.0,1.95,0.13,-1.57,-1.22
11.21,328.0,36.0,15044.0,1.85,-0.01,-1.25,-1.22
11.27,208.0,116.0,14976.0,1.9,0.04,-0.8,-1.18
11.72,324.0,32.0,15052.0,1.98,0.12,-1.23,-1.23
11.78,448.0,-24.0,15092.0,1.98,0.11,-1.7,-1.27
12.42,404.0,-76.0,14996.0,1.86,0.05,-1.54,-1.22
12.49,396.0,40.0,15020.0,1.84,0.0,-1.51,-1.25
12.55,356.0,-48.0,15160.0,1.72,-0.14,-1.35,-1.27
12.61,468.0,56.0,15008.0,1.94,0.07,-1.79,-1.32
12.81,440.0,136.0,15020.0,1.81,-0.03,-1.68,-1.27
12.94,364.0,36.0,15108.0,1.72,-0.14,-1.38,-1.29
13.0,436.0,-28.0,14996.0,1.77,-0.1,-1.67,-1.33
13.07,424.0,-64.0,15004.0,1.45,-0.45,-1.62,-1.39
13.39,336.0,64.0,15084.0,1.85,-0.05,-1.28,-1.39
13.51,268.0,-28.0,15056.0,1.88,-0.01,-1.02,-1.34
13.58,344.0,-88.0,14984.0,1.8,-0.06,-1.32,-1.34
