Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch,DMPYaw,DMPPitch,DMPRoll
5.03,0.2,0.24,-0.41,0.0,2.5,-3.38,-4.51,1.58,-4.36,165.6,5.08,-4.42
5.12,0.2,0.25,-0.41,-0.01,2.51,-3.36,-4.56,1.56,-4.38,165.64,5.05,-4.41
5.2,0.2,0.24,-0.42,-0.02,2.53,-3.34,-4.44,1.46,-4.39,165.69,5.02,-4.39
5.3,0.2,0.25,-0.42,0.01,2.55,-3.32,-4.26,1.43,-4.34,166.9,4.15,-4.02
5.38,0.21,0.23,-0.43,0.02,2.57,-3.3,-4.38,1.51,-4.34,166.94,4.13,-4.01
5.46,0.21,0.25,-0.43,0.02,2.58,-3.28,-4.32,1.59,-4.34,166.98,4.1,-4.0
5.55,0.2,0.23,-0.41,0.01,2.6,-3.26,-4.43,1.36,-4.35,167.02,4.08,-3.99
5.64,0.21,0.23,-0.42,0.01,2.62,-3.24,-4.42,1.36,-4.36,168.21,3.41,-3.67
5.73,0.2,0.24,-0.42,-0.0,2.64,-3.22,-4.34,1.51,-4.36,168.25,3.39,-3.66
5.82,0.2,0.23,-0.42,-0.0,2.65,-3.2,-4.48,1.62,-4.37,168.28,3.37,-3.66
5.9,0.2,0.24,-0.42,-0.01,2.67,-3.18,-4.36,1.48,-4.37,168.32,3.35,-3.65
6.0,0.21,0.24,-0.43,0.01,2.69,-3.15,-4.36,1.61,-4.35,169.48,2.84,-3.38
6.08,0.19,0.24,-0.42,-0.0,2.71,-3.13,-4.55,1.36,-4.37,169.52,2.83,-3.38
6.17,0.19,0.24,-0.42,-0.01,2.72,-3.11,-4.64,1.47,-4.39,169.55,2.81,-3.37
6.25,0.21,0.24,-0.42,-0.02,2.74,-3.09,-4.34,1.6,-4.39,169.59,2.8,-3.36
6.35,0.19,0.28,-0.42,0.07,2.76,-3.07,-3.97,1.45,-4.23,170.74,2.41,-3.16
6.43,0.19,0.21,-0.42,0.09,2.78,-3.05,-5.0,1.65,-4.29,170.78,2.4,-3.15
6.52,0.2,0.24,-0.42,0.05,2.79,-3.03,-4.4,1.5,-4.3,170.82,2.39,-3.15
6.6,0.2,0.23,-0.42,0.04,2.81,-3.01,-4.26,1.49,-4.29,170.85,2.38,-3.14
6.69,0.21,0.24,-0.42,0.01,2.83,-2.99,-4.39,1.53,-4.34,172.0,2.07,-2.98
6.78,0.21,0.21,-0.42,0.02,2.85,-2.97,-4.31,1.52,-4.33,172.03,2.06,-2.98
6.86,0.2,0.24,-0.42,0.0,2.86,-2.95,-4.29,1.43,-4.33,172.06,2.06,-2.97
6.95,0.2,0.24,-0.41,0.01,2.88,-2.93,-4.68,1.41,-4.36,172.1,2.05,-2.97
7.04,0.21,0.23,-0.43,0.03,2.9,-2.91,-4.43,1.52,-4.32,173.23,1.82,-2.83
7.13,0.2,0.24,-0.43,0.02,2.92,-2.89,-4.64,1.63,-4.34,173.27,1.81,-2.83
7.21,0.2,0.23,-0.41,-0.0,2.93,-2.87,-4.56,1.56,-4.36,173.3,1.8,-2.82
7.3,0.21,0.24,-0.43,-0.01,2.95,-2.85,-4.27,1.38,-4.35,173.34,1.8,-2.82
7.39,0.19,0.23,-0.42,-0.0,2.97,-2.82,-4.46,1.61,-4.34,174.46,1.62,-2.72
7.48,0.2,0.25,-0.42,-0.0,2.99,-2.8,-4.41,1.63,-4.35,174.5,1.61,-2.72
7.57,0.19,0.24,-0.42,-0.01,3.0,-2.78,-4.34,1.59,-4.35,174.54,1.61,-2.71
7.65,0.2,0.24,-0.42,-0.01,3.02,-2.76,-4.32,1.55,-4.35,174.57,1.61,-2.71
7.74,0.21,0.24,-0.42,-0.0,3.04,-2.74,-4.41,1.54,-4.36,175.69,1.48,-2.63
7.83,0.22,0.24,-0.44,0.01,3.06,-2.72,-3.7,1.37,-4.3,175.73,1.47,-2.62
7.91,0.2,0.24,-0.41,0.03,3.07,-2.7,-4.49,1.51,-4.32,175.76,1.47,-2.62
8.0,0.19,0.24,-0.41,0.01,3.09,-2.68,-4.52,1.55,-4.34,175.8,1.47,-2.61
8.09,0.2,0.25,-0.43,-0.0,3.11,-2.66,-4.19,1.4,-4.33,176.91,1.36,-2.55
8.18,0.2,0.25,-0.41,0.0,3.13,-2.63,-4.26,1.48,-4.32,176.95,1.35,-2.55
8.26,0.2,0.24,-0.42,0.01,3.14,-2.61,-4.55,1.5,-4.34,176.98,1.35,-2.54
8.35,0.21,0.24,-0.42,0.0,3.16,-2.59,-4.25,1.33,-4.33,177.02,1.35,-2.54
8.44,0.19,0.23,-0.4,0.08,3.18,-2.57,-4.8,1.74,-4.26,178.13,1.27,-2.48
8.53,0.21,0.22,-0.43,0.06,3.2,-2.55,-4.23,1.4,-4.26,178.17,1.27,-2.48
8.61,0.21,0.24,-0.44,0.06,3.21,-2.53,-4.33,1.48,-4.26,178.2,1.27,-2.48
8.7,0.2,0.24,-0.42,0.05,3.23,-2.51,-4.41,1.49,-4.27,178.24,1.27,-2.48
8.79,0.22,0.26,-0.46,-0.1,3.25,-2.49,-3.9,1.52,-4.44,179.35,1.2,-2.43
8.88,0.21,0.24,-0.41,-0.09,3.27,-2.47,-4.1,1.33,-4.42,179.39,1.2,-2.42
8.96,0.19,0.24,-0.42,-0.08,3.28,-2.45,-4.31,1.76,-4.42,179.42,1.2,-2.43
9.05,0.2,0.26,-0.42,-0.07,3.3,-2.43,-4.54,1.54,-4.43,179.46,1.2,-2.42
9.14,0.2,0.24,-0.42,-0.04,3.32,-2.41,-4.28,1.46,-4.39,-179.43,1.15,-2.38
9.23,0.2,0.24,-0.42,-0.04,3.34,-2.38,-4.33,1.48,-4.39,-179.39,1.15,-2.38
