Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch,DMPYaw,DMPPitch,DMPRoll
0.6,-0.01,0.0,0.09,-0.01,1.47,0.77,0.91,1.47,0.75,100.46,74.77,-8.81
0.68,0.04,0.12,0.13,0.04,1.47,0.78,0.6,1.4,0.76,100.76,74.4,-9.03
0.76,0.06,0.06,0.2,0.06,1.48,0.79,0.58,1.5,0.76,109.15,65.05,-14.25
0.85,0.12,0.19,0.07,0.12,1.49,0.8,0.63,1.48,0.77,109.47,64.72,-14.42
0.94,0.01,0.19,0.08,0.01,1.48,0.82,0.92,1.27,0.76,118.86,55.63,-18.22
1.02,-0.11,0.01,0.13,-0.12,1.47,0.82,1.21,1.22,0.76,119.21,55.32,-18.32
1.11,-0.04,0.24,0.24,-0.03,1.48,0.83,0.63,1.61,0.78,129.21,47.21,-20.3
1.2,0.06,0.19,0.19,0.07,1.48,0.85,0.49,1.8,0.78,129.58,46.95,-20.34
1.29,0.01,0.03,0.31,0.02,1.48,0.85,0.98,1.54,0.79,140.18,39.94,-20.62
1.37,-0.09,-0.01,0.02,-0.08,1.48,0.85,0.72,1.14,0.78,140.56,39.71,-20.6
1.46,-0.05,0.18,0.11,-0.04,1.48,0.87,0.95,1.7,0.78,151.5,33.9,-19.48
1.54,-0.05,0.34,-0.15,-0.05,1.47,0.9,0.66,1.9,0.77,151.9,33.72,-19.42
1.63,0.04,0.13,-0.02,0.05,1.47,0.92,0.49,1.34,0.76,162.93,29.11,-17.42
1.72,0.21,0.11,0.2,0.2,1.49,0.93,0.47,1.51,0.76,163.32,28.96,-17.33
1.81,0.0,-0.21,0.11,-0.03,1.49,0.93,0.44,1.31,0.73,174.17,25.5,-14.79
1.89,0.14,0.11,-0.08,0.09,1.5,0.94,0.85,1.33,0.74,174.56,25.38,-14.7
1.98,-0.12,-0.05,0.16,-0.17,1.5,0.98,0.45,1.51,0.71,-174.86,22.82,-11.98
2.07,0.04,-0.04,0.03,-0.03,1.51,0.98,0.66,1.75,0.7,-174.49,22.74,-11.9
2.16,0.15,-0.08,0.27,0.11,1.5,0.99,0.54,1.59,0.72,-164.04,20.99,-9.26
2.25,0.02,0.21,0.02,-0.03,1.5,1.01,0.95,1.33,0.74,-163.69,20.96,-9.16
2.33,0.1,0.25,0.04,0.07,1.51,1.02,0.91,1.56,0.76,-154.07,19.9,-6.82
2.42,-0.01,0.18,0.16,-0.03,1.51,1.03,0.81,1.59,0.76,-153.74,19.86,-6.75
2.51,-0.08,0.24,0.09,-0.12,1.53,1.03,0.84,1.52,0.75,-144.6,19.34,-4.63
2.59,-0.11,0.08,0.03,-0.14,1.52,1.04,1.18,1.5,0.77,-144.28,19.33,-4.56
2.68,0.1,0.02,-0.02,0.09,1.52,1.06,0.6,1.88,0.75,-135.56,19.14,-2.8
2.77,0.15,-0.03,0.08,0.13,1.53,1.05,0.67,1.41,0.76,-135.25,19.15,-2.75
2.86,-0.02,0.09,0.09,-0.01,1.52,1.06,0.85,1.41,0.78,-126.92,19.14,-1.28
2.94,-0.1,0.05,0.06,-0.09,1.51,1.07,1.13,1.44,0.8,-126.62,19.14,-1.24
3.03,0.1,-0.01,0.03,0.14,1.51,1.08,0.79,1.45,0.82,-118.61,19.35,-0.01
3.11,0.0,0.01,0.2,0.04,1.51,1.08,0.53,1.65,0.8,-118.34,19.36,0.02
3.2,0.13,0.15,-0.02,0.15,1.51,1.11,0.51,1.27,0.77,-110.82,19.67,0.96
3.28,-0.04,0.05,0.05,-0.04,1.51,1.11,0.44,1.42,0.74,-110.55,19.69,0.98
3.37,-0.05,0.16,0.09,-0.06,1.52,1.12,0.9,1.71,0.77,-103.18,20.03,1.69
3.45,0.13,0.31,0.05,0.13,1.53,1.15,0.75,1.32,0.78,-102.91,20.04,1.71
3.53,0.08,0.08,-0.02,0.08,1.54,1.16,0.61,1.2,0.78,-95.64,20.38,2.27
3.62,-0.07,0.08,0.14,-0.08,1.53,1.17,0.92,1.12,0.79,-95.36,20.38,2.29
3.7,0.08,0.18,0.2,0.07,1.53,1.17,0.54,1.27,0.76,-88.08,20.76,2.67
3.78,0.16,0.02,0.03,0.14,1.54,1.18,0.74,1.9,0.77,-87.8,20.78,2.69
3.87,-0.01,0.04,0.03,-0.05,1.54,1.18,0.86,1.26,0.75,-80.52,21.12,2.99
3.95,-0.02,0.17,0.09,-0.06,1.54,1.2,0.9,1.69,0.76,-80.26,21.14,2.99
4.04,-0.11,0.16,0.11,-0.13,1.54,1.21,0.59,1.28,0.75,-72.62,21.5,3.27
4.13,0.05,0.17,-0.02,0.02,1.55,1.23,1.01,1.59,0.77,-72.34,21.51,3.27
4.21,-0.02,0.11,0.1,-0.03,1.54,1.24,0.43,1.14,0.74,-64.85,21.82,3.39
4.29,0.02,0.02,0.17,-0.02,1.54,1.24,1.23,1.59,0.78,-64.56,21.83,3.39
4.38,-0.07,0.21,0.04,-0.04,1.54,1.26,0.88,1.68,0.83,-56.91,22.13,3.42
4.46,-0.08,0.06,0.16,-0.05,1.54,1.26,0.59,0.88,0.81,-56.62,22.15,3.42
4.55,0.08,0.13,0.15,0.09,1.55,1.29,0.64,1.6,0.8,-48.77,22.34,3.44
4.63,0.02,0.15,0.18,0.02,1.55,1.3,0.87,1.55,0.8,-48.47,22.34,3.45
4.71,0.05,0.19,0.17,0.05,1.55,1.3,0.55,1.6,0.78,-40.47,22.53,3.46
4.79,0.0,0.04,0.05,-0.02,1.55,1.3,0.43,1.38,0.75,-40.18,22.54,3.45
4.88,0.05,0.08,0.1,-0.02,1.56,1.3,0.68,1.27,0.72,-31.93,22.7,3.37
4.96,0.02,-0.11,0.06,-0.04,1.56,1.3,0.56,1.8,0.7,-31.62,22.69,3.35
5.05,-0.12,0.24,-0.1,-0.2,1.55,1.31,0.7,1.16,0.69,-23.2,22.79,3.32
5.13,0.17,0.07,0.02,0.09,1.57,1.32,0.56,1.63,0.68,-22.9,22.8,3.33
