Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch
4.82,-0.11,-0.32,-0.09,0.03,0.93,-4.04,-2.72,1.29,-2.48
4.88,-0.11,-0.39,-0.05,0.0,0.92,-4.06,-2.58,0.82,-2.49
4.95,-0.25,-0.21,-0.05,-0.14,0.9,-4.07,-2.13,1.22,-2.46
5.01,-0.28,-0.36,-0.05,-0.15,0.88,-4.1,-2.79,1.35,-2.5
5.08,-0.18,-0.3,-0.07,-0.07,0.87,-4.12,-2.32,1.17,-2.49
5.14,-0.11,-0.22,-0.05,0.01,0.86,-4.13,-2.19,1.37,-2.46
5.21,-0.17,-0.28,-0.16,-0.02,0.85,-4.15,-2.24,1.8,-2.43
5.27,-0.04,-0.18,-0.11,0.13,0.85,-4.16,-2.88,1.0,-2.47
5.34,-0.19,-0.35,0.18,-0.06,0.84,-4.18,-2.41,1.47,-2.47
5.4,-0.19,-0.23,0.01,-0.06,0.83,-4.2,-2.4,1.07,-2.47
5.47,-0.11,-0.34,-0.02,0.03,0.82,-4.22,-2.48,1.2,-2.47
5.53,-0.08,-0.29,0.02,0.06,0.81,-4.24,-2.12,1.44,-2.43
5.59,-0.11,-0.35,-0.08,0.06,0.81,-4.26,-2.53,1.56,-2.43
5.66,-0.18,-0.5,-0.08,-0.03,0.8,-4.29,-2.18,1.67,-2.41
5.72,-0.17,-0.04,0.15,0.01,0.78,-4.3,-2.56,1.46,-2.42
5.79,-0.13,-0.43,-0.16,0.04,0.78,-4.32,-2.42,1.61,-2.42
5.85,-0.21,-0.3,-0.02,-0.04,0.76,-4.34,-2.28,1.51,-2.41
5.92,-0.21,-0.07,0.02,-0.03,0.75,-4.35,-2.15,1.64,-2.38
5.98,-0.05,-0.41,-0.05,0.14,0.75,-4.37,-2.22,0.83,-2.36
6.05,-0.14,-0.2,-0.02,0.07,0.74,-4.39,-2.36,1.39,-2.35
6.11,-0.12,-0.27,-0.09,0.09,0.73,-4.41,-2.54,1.41,-2.37
6.18,-0.12,0.11,-0.05,0.07,0.72,-4.4,-2.76,1.78,-2.41
6.24,-0.07,-0.44,-0.04,0.09,0.72,-4.43,-1.76,2.06,-2.33
6.3,0.02,-0.04,-0.09,0.23,0.72,-4.43,-2.47,1.55,-2.33
6.37,-0.24,-0.23,-0.08,-0.04,0.7,-4.44,-2.75,1.29,-2.38
6.43,-0.27,-0.4,-0.12,-0.1,0.69,-4.47,-2.07,1.53,-2.35
6.5,-0.3,-0.38,0.08,-0.11,0.67,-4.49,-2.14,1.53,-2.34
6.56,-0.24,-0.11,-0.02,-0.03,0.65,-4.5,-2.78,1.77,-2.39
6.63,-0.26,-0.45,-0.13,-0.08,0.63,-4.53,-2.16,1.53,-2.37
6.7,-0.26,-0.22,-0.15,-0.07,0.62,-4.55,-2.73,1.48,-2.41
6.76,-0.24,-0.4,-0.05,-0.08,0.6,-4.57,-2.42,1.27,-2.41
6.83,-0.09,-0.29,-0.04,0.07,0.59,-4.59,-2.35,1.8,-2.4
6.89,-0.17,-0.45,-0.07,0.0,0.58,-4.62,-2.37,0.96,-2.4
6.96,-0.08,-0.33,0.15,0.09,0.58,-4.64,-2.36,1.72,-2.39
7.02,-0.05,-0.28,-0.05,0.13,0.58,-4.66,-2.64,0.86,-2.41
7.08,-0.1,-0.09,0.02,0.06,0.57,-4.67,-2.32,1.24,-2.4
7.15,-0.24,-0.15,-0.17,-0.07,0.55,-4.68,-2.43,1.36,-2.4
7.21,-0.07,-0.15,-0.02,0.09,0.55,-4.69,-2.53,1.25,-2.41
7.28,-0.13,-0.32,0.01,0.02,0.54,-4.71,-2.3,1.02,-2.4
7.34,-0.21,-0.29,0.02,-0.05,0.53,-4.72,-2.42,1.7,-2.4
7.41,-0.21,-0.23,-0.07,-0.05,0.51,-4.74,-2.49,1.61,-2.41
7.47,-0.23,-0.47,-0.08,-0.08,0.5,-4.77,-2.03,1.13,-2.38
7.54,-0.18,-0.4,0.0,-0.0,0.49,-4.8,-2.69,1.47,-2.41
7.6,-0.36,-0.15,0.03,-0.2,0.46,-4.81,-1.96,1.39,-2.38
7.67,-0.24,-0.25,-0.15,-0.04,0.45,-4.82,-2.59,1.86,-2.4
7.73,-0.1,-0.32,-0.06,0.08,0.44,-4.84,-2.56,1.24,-2.41
7.8,-0.1,-0.28,-0.12,0.06,0.44,-4.86,-2.47,1.25,-2.42
7.86,-0.26,-0.4,0.05,-0.1,0.42,-4.89,-2.33,1.74,-2.41
7.93,-0.11,-0.35,-0.02,0.05,0.41,-4.91,-2.53,1.61,-2.42
7.99,-0.16,-0.15,0.07,-0.0,0.4,-4.92,-2.98,1.24,-2.48
8.06,-0.12,-0.08,-0.16,-0.01,0.39,-4.93,-2.49,1.37,-2.48
8.12,-0.24,-0.41,-0.11,-0.12,0.38,-4.95,-2.23,1.59,-2.46
8.19,-0.2,-0.35,-0.16,-0.06,0.36,-4.98,-2.34,1.6,-2.45
8.25,-0.02,-0.27,-0.09,0.12,0.36,-4.99,-2.62,1.15,-2.46
8.32,-0.07,-0.26,-0.14,0.06,0.36,-5.01,-2.62,1.0,-2.48
8.38,-0.15,-0.45,-0.05,-0.03,0.35,-5.04,-2.16,1.24,-2.45
8.45,-0.08,-0.43,0.08,0.07,0.34,-5.07,-2.46,0.96,-2.44
8.51,-0.11,-0.24,-0.03,0.03,0.34,-5.08,-2.47,1.2,-2.44
8.58,-0.23,-0.27,-0.05,-0.09,0.32,-5.1,-2.5,1.62,-2.46
8.64,-0.08,-0.04,0.03,0.06,0.32,-5.1,-2.18,1.2,-2.42
8.7,-0.23,-0.31,-0.07,-0.07,0.3,-5.12,-2.54,1.43,-2.44
8.77,-0.27,-0.26,-0.11,-0.12,0.29,-5.14,-2.49,0.75,-2.45
8.84,-0.07,-0.32,-0.07,0.08,0.28,-5.16,-2.32,1.51,-2.43
8.9,-0.11,-0.56,-0.05,0.05,0.27,-5.2,-2.68,1.64,-2.46
8.97,-0.16,-0.08,-0.02,-0.03,0.26,-5.2,-2.5,1.27,-2.46
9.03,-0.24,0.04,0.07,-0.11,0.25,-5.2,-2.74,1.2,-2.5
9.09,-0.21,-0.37,0.04,-0.1,0.23,-5.22,-2.3,1.29,-2.48
9.16,-0.22,-0.27,-0.11,-0.09,0.22,-5.24,-2.47,1.64,-2.49
9.22,-0.06,-0.2,0.24,0.07,0.22,-5.25,-2.51,1.2,-2.49
9.29,-0.13,-0.33,0.01,-0.0,0.21,-5.27,-2.42,1.22,-2.48
9.35,0.0,-0.23,-0.07,0.13,0.21,-5.29,-2.47,1.3,-2.47
9.42,-0.06,-0.16,-0.02,0.07,0.2,-5.3,-2.77,1.12,-2.5
9.48,-0.18,-0.18,-0.02,-0.07,0.19,-5.31,-2.27,1.06,-2.48
9.55,-0.11,-0.18,-0.11,0.01,0.18,-5.32,-2.45,1.27,-2.48
9.61,-0.11,-0.08,0.02,0.02,0.18,-5.33,-2.25,1.56,-2.45
9.67,-0.19,-0.21,-0.01,-0.05,0.17,-5.34,-2.05,1.24,-2.41
9.74,-0.15,-0.4,-0.18,0.03,0.16,-5.37,-2.42,1.21,-2.41
9.8,-0.15,-0.19,-0.06,0.02,0.15,-5.38,-2.39,1.5,-2.41
9.87,-0.18,-0.12,0.11,-0.0,0.14,-5.39,-2.67,1.36,-2.43
9.93,-0.26,-0.24,0.04,-0.1,0.12,-5.4,-2.57,1.54,-2.45
10.0,-0.23,-0.1,-0.05,-0.08,0.1,-5.41,-2.62,1.06,-2.48
10.07,-0.19,-0.1,0.01,-0.06,0.09,-5.42,-2.23,1.33,-2.45
10.13,-0.14,-0.05,-0.02,0.01,0.08,-5.42,-2.65,1.55,-2.47
10.2,-0.18,-0.31,-0.05,-0.05,0.07,-5.44,-2.84,1.43,-2.52
10.26,-0.06,-0.18,0.03,0.05,0.07,-5.45,-2.45,1.8,-2.51
10.33,-0.18,-0.37,0.03,-0.06,0.05,-5.48,-2.15,1.44,-2.47
10.39,-0.11,-0.27,-0.02,0.03,0.05,-5.49,-2.36,1.71,-2.46
10.46,-0.08,-0.29,-0.08,0.07,0.04,-5.51,-2.51,1.43,-2.46
10.53,-0.14,-0.21,0.06,0.01,0.03,-5.53,-2.46,1.37,-2.46
10.59,-0.15,0.03,-0.03,-0.01,0.02,-5.52,-2.5,1.04,-2.46
10.66,-0.19,-0.22,-0.02,-0.05,0.01,-5.54,-2.69,1.31,-2.49
10.72,-0.18,-0.27,0.01,-0.06,-0.0,-5.56,-2.3,1.35,-2.47
10.79,-0.04,-0.15,0.0,0.1,-0.0,-5.57,-2.29,1.68,-2.45
10.85,-0.31,-0.18,0.19,-0.16,-0.02,-5.58,-1.93,1.63,-2.4
10.92,-0.02,-0.29,0.08,0.17,-0.03,-5.6,-3.07,1.76,-2.46
10.99,-0.11,-0.23,-0.15,0.03,-0.03,-5.61,-2.13,1.41,-2.43
11.05,-0.14,-0.31,-0.05,0.03,-0.04,-5.63,-2.48,1.39,-2.43
11.12,-0.07,-0.16,-0.11,0.09,-0.05,-5.64,-2.18,1.57,-2.4
11.19,-0.18,-0.24,-0.08,0.01,-0.06,-5.66,-2.48,1.45,-2.41
11.25,-0.03,-0.19,-0.07,0.14,-0.06,-5.67,-2.57,1.03,-2.42
11.32,-0.11,-0.37,-0.01,0.05,-0.07,-5.7,-2.28,1.73,-2.4
11.39,-0.15,-0.22,-0.12,0.02,-0.08,-5.71,-2.64,1.28,-2.42
11.45,-0.18,-0.24,0.05,-0.02,-0.09,-5.73,-2.28,1.5,-2.41
11.52,-0.12,-0.26,0.02,0.04,-0.1,-5.75,-2.11,1.5,-2.37
11.59,-0.13,-0.29,-0.05,0.06,-0.11,-5.76,-2.67,1.43,-2.4
11.65,-0.2,-0.44,-0.06,-0.03,-0.12,-5.79,-2.47,1.48,-2.41
11.72,-0.11,-0.4,0.18,0.05,-0.13,-5.82,-2.53,1.42,-2.42
11.79,-0.12,-0.4,-0.02,0.03,-0.14,-5.85,-2.19,1.2,-2.39
11.85,-0.16,-0.31,-0.02,0.01,-0.15,-5.87,-2.71,1.41,-2.43
11.92,-0.18,-0.34,-0.02,-0.04,-0.16,-5.89,-2.4,1.43,-2.43
11.99,-0.24,-0.29,-0.05,-0.09,-0.18,-5.91,-2.19,1.63,-2.41
12.06,-0.15,-0.31,0.16,0.02,-0.19,-5.93,-2.36,1.1,-2.4
12.12,-0.04,-0.06,-0.03,0.13,-0.19,-5.93,-2.5,1.34,-2.4
12.19,-0.17,-0.16,0.01,-0.01,-0.2,-5.94,-2.62,1.5,-2.43
12.26,-0.09,-0.18,0.04,0.05,-0.21,-5.96,-2.56,1.48,-2.44
12.32,-0.23,-0.57,-0.01,-0.1,-0.22,-5.99,-2.04,1.34,-2.4
12.39,-0.1,-0.07,-0.01,0.07,-0.23,-6.0,-2.56,1.51,-2.41
12.46,-0.17,-0.21,-0.14,-0.02,-0.24,-6.01,-2.53,1.16,-2.43
12.52,-0.12,-0.18,-0.13,0.02,-0.25,-6.03,-2.45,1.32,-2.43
12.59,0.0,-0.32,-0.08,0.14,-0.25,-6.05,-2.54,1.16,-2.43
12.66,-0.31,-0.16,0.09,-0.18,-0.27,-6.06,-2.4,1.07,-2.44
12.72,-0.01,-0.31,0.06,0.13,-0.27,-6.08,-2.58,1.34,-2.45
12.79,-0.16,-0.32,-0.14,-0.04,-0.28,-6.1,-2.48,1.66,-2.45
12.86,-0.14,-0.47,0.04,-0.02,-0.29,-6.13,-2.3,1.21,-2.44
12.92,-0.4,-0.33,-0.05,-0.26,-0.31,-6.15,-2.08,1.2,-2.41
12.99,-0.16,-0.03,0.02,0.0,-0.32,-6.15,-2.29,1.49,-2.4
13.06,-0.2,-0.31,0.11,-0.03,-0.34,-6.17,-2.84,0.86,-2.45
13.12,-0.15,-0.29,-0.09,-0.01,-0.35,-6.19,-2.48,1.73,-2.45
13.19,-0.11,-0.07,-0.11,0.03,-0.36,-6.2,-1.79,1.74,-2.38
13.26,-0.13,0.02,-0.05,0.06,-0.36,-6.2,-2.34,1.21,-2.37
13.32,-0.15,-0.31,-0.05,0.04,-0.37,-6.22,-2.47,1.18,-2.38
13.39,-0.11,-0.17,-0.17,0.07,-0.38,-6.23,-2.36,1.8,-2.37
13.46,-0.08,-0.24,-0.05,0.1,-0.39,-6.25,-2.81,1.07,-2.42
13.52,-0.11,-0.12,-0.18,0.04,-0.39,-6.25,-2.41,1.33,-2.41
13.59,-0.03,-0.25,-0.05,0.12,-0.4,-6.27,-2.59,0.9,-2.42
13.66,-0.15,-0.5,-0.1,-0.02,-0.41,-6.3,-2.43,1.4,-2.43
13.72,-0.31,-0.6,-0.11,-0.17,-0.43,-6.34,-2.81,1.21,-2.48
13.79,-0.21,-0.24,-0.08,-0.11,-0.44,-6.36,-2.64,1.83,-2.5
13.86,-0.04,-0.02,0.01,0.06,-0.44,-6.36,-2.53,1.7,-2.5
13.93,-0.14,-0.21,0.08,-0.05,-0.45,-6.38,-2.39,1.5,-2.49
