Tiempo,GiroX,GiroY,GiroZ,KalmanGiroY,GiroXAngle,GiroYAngle,Pitch,Roll,KalmanPitch,DMPYaw,DMPPitch,DMPRoll
0.51,0.05,0.01,-0.05,0.05,1.42,-8.96,-9.52,1.05,-8.96,9.18,-14.55,-74.29
0.6,0.17,0.06,0.09,0.17,1.43,-8.93,-9.71,1.6,-8.96,-93.48,78.23,7.49
0.68,0.27,0.05,-0.04,0.27,1.45,-8.93,-9.63,1.6,-8.94,-93.05,78.26,7.18
0.77,0.02,0.02,-0.05,0.01,1.46,-8.93,-9.18,1.51,-8.93,-80.32,74.0,-1.41
0.86,0.05,0.01,0.01,0.05,1.46,-8.93,-9.51,1.41,-8.94,-79.86,73.73,-1.69
0.94,0.08,0.0,-0.02,0.07,1.47,-8.91,-9.27,1.47,-8.94,-66.62,65.01,-9.12
1.03,0.06,0.11,-0.08,0.05,1.48,-8.9,-9.44,1.48,-8.95,-66.14,64.68,-9.36
1.12,-0.06,0.28,-0.06,-0.09,1.49,-8.9,-9.57,1.43,-8.97,-52.58,55.57,-15.14
1.21,0.22,0.28,-0.1,0.18,1.51,-8.88,-9.48,1.75,-8.97,-52.09,55.26,-15.31
1.3,0.02,0.09,0.03,-0.04,1.53,-8.87,-9.23,1.79,-8.98,-37.9,46.5,-19.35
1.38,0.05,0.11,-0.08,-0.02,1.53,-8.86,-9.59,1.48,-9.0,-37.42,46.22,-19.46
1.48,0.22,0.24,-0.07,0.11,1.55,-8.86,-9.76,1.83,-9.07,-23.41,38.56,-21.56
1.56,0.18,0.27,-0.08,0.04,1.56,-8.83,-9.69,1.5,-9.09,-22.94,38.32,-21.6
1.66,0.01,0.06,0.02,-0.2,1.57,-8.82,-9.34,1.4,-9.18,-9.47,31.95,-21.94
1.74,0.05,0.18,-0.07,-0.16,1.57,-8.81,-9.4,1.34,-9.2,-9.01,31.74,-21.92
1.84,0.17,-0.06,-0.02,-0.1,1.59,-8.81,-9.5,1.52,-9.27,3.81,26.62,-20.97
1.92,0.31,0.25,-0.05,0.04,1.61,-8.79,-9.13,1.62,-9.26,4.24,26.46,-20.92
2.02,0.2,0.46,-0.06,-0.09,1.64,-8.75,-9.79,1.25,-9.32,16.32,22.54,-19.2
2.1,0.22,-0.05,0.1,-0.09,1.65,-8.75,-9.42,1.35,-9.34,16.71,22.42,-19.13
2.2,0.15,0.21,0.0,-0.17,1.67,-8.75,-9.37,1.34,-9.36,28.01,19.54,-17.08
2.28,0.05,0.27,-0.17,-0.28,1.67,-8.73,-9.16,1.68,-9.37,28.38,19.45,-17.01
2.37,0.19,0.0,-0.19,-0.11,1.68,-8.71,-9.23,1.66,-9.37,38.7,17.47,-14.94
2.46,0.03,0.0,0.11,-0.27,1.68,-8.71,-9.57,1.63,-9.4,39.06,17.42,-14.87
2.55,0.08,0.2,0.04,-0.21,1.7,-8.67,-9.48,1.55,-9.41,49.17,16.04,-12.85
2.64,0.22,0.02,-0.05,-0.08,1.72,-8.67,-9.45,1.6,-9.42,49.51,16.01,-12.79
2.73,0.37,0.18,0.1,0.05,1.72,-8.65,-9.43,1.4,-9.45,59.13,15.21,-10.91
2.81,0.15,0.19,0.0,-0.16,1.74,-8.63,-9.64,1.29,-9.48,59.45,15.18,-10.86
2.91,0.33,-0.02,0.08,0.01,1.74,-8.64,-9.72,1.67,-9.51,68.29,14.79,-9.31
2.99,0.11,0.11,0.12,-0.22,1.75,-8.63,-9.34,1.63,-9.51,68.61,14.77,-9.25
3.08,0.07,0.23,0.08,-0.26,1.76,-8.63,-9.51,1.76,-9.55,77.21,14.71,-7.93
3.16,0.1,0.15,-0.27,-0.23,1.77,-8.62,-9.36,1.99,-9.55,77.52,14.71,-7.89
3.25,0.05,0.05,-0.21,-0.24,1.8,-8.59,-9.43,1.81,-9.5,85.92,14.75,-6.79
3.34,-0.09,0.1,-0.11,-0.37,1.79,-8.59,-9.28,1.41,-9.51,86.21,14.76,-6.75
3.43,0.08,-0.06,-0.02,-0.2,1.78,-8.56,-9.42,1.66,-9.55,94.45,14.96,-5.86
3.51,0.13,-0.12,-0.01,-0.13,1.79,-8.57,-9.38,1.74,-9.54,94.75,14.97,-5.84
3.61,0.07,0.15,0.01,-0.16,1.8,-8.56,-9.55,1.55,-9.53,103.15,15.24,-5.1
3.69,-0.02,0.25,-0.13,-0.26,1.8,-8.54,-9.25,1.56,-9.52,103.43,15.25,-5.09
3.79,0.02,0.21,0.11,-0.19,1.84,-8.53,-9.43,1.31,-9.49,111.81,15.51,-4.54
3.87,0.21,0.04,-0.08,0.01,1.86,-8.53,-9.35,1.75,-9.48,112.09,15.53,-4.53
3.97,-0.01,0.44,-0.1,-0.19,1.87,-8.51,-9.41,1.49,-9.47,120.49,15.88,-4.1
4.05,0.14,0.11,-0.15,-0.04,1.88,-8.51,-9.75,1.44,-9.49,120.78,15.9,-4.09
4.15,0.14,0.24,0.0,-0.01,1.89,-8.48,-9.33,1.1,-9.43,129.29,16.21,-3.83
4.23,-0.01,0.27,-0.05,-0.15,1.89,-8.46,-9.51,1.93,-9.44,129.58,16.22,-3.81
4.32,0.11,0.05,0.07,-0.03,1.91,-8.46,-9.38,1.33,-9.42,138.15,16.52,-3.61
4.41,0.09,0.17,-0.04,-0.04,1.92,-8.44,-9.17,1.44,-9.4,138.44,16.53,-3.59
4.5,0.05,0.33,0.01,-0.08,1.93,-8.43,-9.43,1.52,-9.42,147.2,16.85,-3.5
4.59,0.15,0.1,0.1,0.02,1.94,-8.42,-9.77,1.46,-9.45,147.5,16.86,-3.5
4.68,18.0,17.18,1.29,20.32,3.64,-7.9,2.96,-32.3,-4.03,157.48,9.53,0.52
4.77,1.25,-0.1,-0.6,4.03,3.75,-7.91,-7.7,1.71,-4.01,157.42,11.2,2.28
4.86,1.11,-5.24,-0.16,3.23,1.7,-7.42,1.25,0.53,-5.79,163.52,15.18,-7.88
4.94,9.37,41.95,9.07,11.92,2.5,-3.81,12.87,12.2,-3.39,163.88,14.73,-6.85
5.04,51.61,15.7,-7.92,51.34,4.39,-3.74,24.01,2.58,-3.96,173.97,8.64,-8.78
5.13,-0.31,-0.4,-2.04,1.15,4.36,-3.78,-13.98,1.15,-4.67,174.76,9.96,-5.89
5.22,13.87,-0.24,2.72,13.91,5.94,-2.96,-15.94,-1.58,-4.91,-173.48,18.1,3.15
5.31,22.86,10.11,-6.32,22.21,8.0,-2.05,-19.64,6.34,-4.28,-172.86,17.85,3.98
5.4,-0.23,-0.39,-0.33,-2.61,8.09,-2.1,-8.53,2.14,-5.45,-165.15,17.43,-2.53
5.49,6.81,11.62,11.76,4.23,8.7,-1.05,-27.29,1.88,-6.92,-164.85,17.4,-2.59
5.59,1.27,2.99,-0.74,-4.82,8.87,-0.99,3.67,1.76,-8.79,-154.68,18.14,0.53
5.68,-2.92,-1.58,-4.02,-8.22,8.61,-1.12,-44.44,1.34,-12.41,-154.43,18.19,0.63
5.77,1.82,-0.84,-1.63,-5.89,8.69,-1.22,-13.77,2.15,-13.29,-143.77,19.08,-4.65
5.86,0.98,0.79,-0.88,-6.76,8.78,-1.15,-5.97,1.52,-13.19,-143.42,18.96,-4.64
5.96,-1.67,1.47,1.31,-7.44,8.92,-1.13,-11.64,1.72,-11.85,-132.67,19.04,-1.86
6.05,0.36,1.76,0.73,-5.4,8.95,-0.97,-5.03,1.77,-11.74,-132.4,19.13,-1.96
6.14,1.65,-1.02,-2.82,-4.6,9.69,-0.89,-6.25,0.94,-12.29,-122.53,19.73,-1.92
6.23,-0.66,2.17,-9.32,-6.56,9.63,-0.7,-7.21,1.41,-12.44,-122.13,19.65,-2.01
6.33,4.0,-0.03,2.66,0.2,9.43,-0.66,1.11,0.92,-10.01,-113.88,21.44,-7.3
6.41,0.8,0.62,-0.51,-2.32,9.5,-0.6,-6.85,1.42,-9.94,-113.88,21.5,-6.94
6.51,0.03,-0.17,0.41,-2.7,9.48,-0.59,-10.75,1.71,-10.06,-105.14,20.43,-6.95
6.6,54.05,2.88,0.71,51.28,14.36,-0.33,-6.16,2.29,-5.5,-104.81,20.39,-6.94
6.69,-6.05,-0.06,0.19,-9.19,13.76,-0.54,-12.21,2.31,-7.16,-97.45,22.37,3.02
6.78,-15.79,9.37,4.44,-19.24,12.36,0.3,-4.51,3.77,-8.54,-97.11,22.42,2.48
6.88,6.48,-5.87,-0.41,3.32,12.68,-0.37,-8.69,2.27,-8.51,-88.92,19.56,0.45
6.97,-8.54,-6.18,-2.11,-11.71,11.93,-0.9,-9.05,1.72,-9.49,-88.61,19.19,1.04
7.06,-11.86,-9.09,-5.59,-15.25,10.8,-1.71,-14.64,1.76,-11.5,-79.27,19.31,-4.18
7.15,0.04,-4.32,-3.9,-3.56,10.81,-2.12,-12.15,1.33,-11.86,-78.39,18.43,-5.28
7.25,7.09,-14.23,-13.95,2.29,11.22,-3.25,-16.82,1.21,-13.59,-68.39,18.0,-10.05
